ID,Gender,Age,Customer Type,Cabin Type,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Entertainment,Baggage Handling,Satisfaction
85523,Male,39,Returning,Business,2102,0,0,4,5,4,4,4,4,4,4,4,3,4,4,4,Satisfied
85524,Male,40,Returning,Business,259,0,0,0,0,4,5,2,3,5,3,4,3,3,3,3,Satisfied
85525,Male,64,First-time,Business,259,0,4,2,2,4,2,3,4,4,1,4,4,4,4,4,Neutral or Dissatisfied
85526,Female,57,Returning,Business,1919,0,0,4,4,4,4,4,5,5,5,4,2,5,5,5,Satisfied
85527,Female,40,First-time,Business,259,0,0,4,4,5,4,3,3,5,3,5,5,5,5,4,Satisfied
85529,Male,68,Returning,Business,259,0,0,3,4,3,5,4,4,1,4,2,5,4,4,4,Neutral or Dissatisfied
85530,Female,22,Returning,Business,259,0,0,1,0,2,0,3,2,5,5,5,5,3,5,2,Neutral or Dissatisfied
85531,Female,39,Returning,Business,259,0,0,3,4,4,4,4,4,5,4,3,3,4,4,4,Satisfied
85532,Female,46,Returning,Business,259,0,0,5,5,5,5,5,4,4,4,5,5,4,4,4,Satisfied
85533,Female,33,Returning,Business,3372,0,0,4,4,4,5,4,4,5,4,3,3,4,4,4,Satisfied
85534,Female,50,Returning,Business,153,0,0,1,1,4,4,1,4,4,4,4,2,4,4,4,Satisfied
85535,Female,47,Returning,Business,1848,6,5,5,5,4,5,5,5,4,5,4,4,5,5,5,Satisfied
85536,Female,29,First-time,Business,192,0,6,5,5,3,5,4,5,4,4,4,4,4,4,5,Satisfied
85539,Female,24,First-time,Economy,317,0,2,5,2,5,2,5,3,5,4,5,5,5,5,5,Neutral or Dissatisfied
85542,Female,40,Returning,Business,3194,0,0,2,2,5,4,2,4,4,4,3,3,4,4,4,Satisfied
85543,Male,46,Returning,Business,259,0,0,5,4,3,4,4,4,4,4,3,5,4,4,4,Satisfied
85545,Male,40,First-time,Business,259,1,0,2,2,4,2,4,4,2,5,2,2,4,2,5,Neutral or Dissatisfied
85546,Female,55,Returning,Business,1567,0,0,4,4,5,4,4,5,5,5,3,4,5,5,4,Satisfied
85547,Female,40,Returning,Business,2935,0,0,1,1,5,5,1,4,5,4,4,3,4,4,4,Satisfied
85548,Male,58,Returning,Business,2314,0,0,1,1,3,5,2,1,4,1,5,2,1,1,1,Satisfied
85550,Female,46,Returning,Business,2022,0,0,3,3,3,5,3,5,5,5,3,4,5,5,5,Satisfied
85551,Female,48,Returning,Business,259,6,1,2,2,5,4,2,4,5,4,4,5,4,4,4,Satisfied
85552,Female,26,First-time,Economy,259,9,10,4,2,3,2,4,3,4,2,2,2,4,2,4,Neutral or Dissatisfied
85553,Female,53,Returning,Business,2853,0,0,3,5,4,4,3,5,5,5,3,5,5,5,5,Satisfied
85554,Female,49,Returning,Business,317,0,0,1,1,4,4,1,4,5,4,5,3,4,4,4,Satisfied
85555,Female,20,First-time,Business,192,0,0,5,5,4,5,1,3,5,2,5,5,5,5,4,Satisfied
85556,Female,48,Returning,Business,153,0,0,5,5,4,5,5,5,5,5,5,5,5,5,4,Satisfied
85557,Female,49,Returning,Business,153,0,0,4,0,5,4,3,3,4,3,4,4,3,3,3,Satisfied
85559,Female,56,First-time,Business,192,1,0,4,4,3,4,4,4,1,2,1,1,4,1,5,Neutral or Dissatisfied
85563,Female,64,Returning,Business,2010,0,0,1,1,1,2,1,3,2,3,3,3,3,3,1,Neutral or Dissatisfied
85564,Female,55,Returning,Economy,153,0,0,5,5,1,2,5,2,2,3,1,5,2,2,2,Neutral or Dissatisfied
85565,Female,44,Returning,Business,3340,0,0,0,0,5,4,3,5,4,5,3,4,5,5,5,Satisfied
85566,Male,52,Returning,Business,3286,0,0,4,4,4,3,4,3,3,3,2,3,3,3,3,Neutral or Dissatisfied
85567,Female,30,Returning,Business,3560,1,0,0,0,4,3,4,3,3,5,3,3,4,3,4,Satisfied
85568,Male,55,Returning,Business,2520,0,0,4,5,5,5,5,4,4,4,4,2,4,4,4,Satisfied
85569,Male,36,Returning,Business,3114,0,0,1,1,4,5,1,3,4,4,5,4,3,3,5,Satisfied
85570,Male,48,Returning,Business,259,0,0,0,0,4,4,1,3,4,3,3,4,3,3,3,Satisfied
85571,Male,19,First-time,Economy,259,0,0,4,2,1,2,3,1,1,2,1,1,4,1,3,Neutral or Dissatisfied
85574,Female,21,First-time,Economy,192,0,0,0,4,5,4,4,5,4,4,1,1,4,1,4,Satisfied
85575,Female,30,Returning,Business,2927,2,8,3,3,4,2,3,4,2,5,2,2,2,2,1,Neutral or Dissatisfied
85576,Female,47,Returning,Economy,259,0,0,1,1,2,4,1,3,3,3,3,4,3,3,3,Neutral or Dissatisfied
85577,Female,80,Returning,Business,3464,0,0,1,1,5,4,1,4,4,4,4,2,4,4,4,Satisfied
85579,Female,68,First-time,Economy,259,4,6,2,4,2,4,4,2,3,2,2,2,3,2,3,Neutral or Dissatisfied
85580,Female,36,First-time,Business,259,0,0,2,2,4,2,1,3,5,2,5,5,5,5,5,Neutral or Dissatisfied
85581,Female,25,First-time,Business,259,0,2,0,2,3,2,5,3,3,5,3,3,4,3,5,Neutral or Dissatisfied
85582,Male,44,Returning,Business,2280,9,9,5,5,4,4,5,5,4,5,4,5,5,5,4,Satisfied
85584,Female,50,Returning,Business,2973,0,0,2,2,4,4,2,2,3,3,1,2,2,2,4,Neutral or Dissatisfied
85585,Female,24,Returning,Business,2740,3,0,4,4,4,4,4,3,4,1,4,4,3,4,4,Neutral or Dissatisfied
85586,Female,58,Returning,Business,153,0,0,1,1,3,5,1,5,5,5,4,3,5,5,5,Satisfied
85587,Female,60,Returning,Business,3464,3,0,5,2,4,4,5,4,4,4,4,4,4,4,4,Satisfied
85591,Male,42,Returning,Business,3525,0,0,0,0,5,1,1,4,4,5,4,2,4,4,5,Satisfied
85592,Female,25,First-time,Economy,153,0,0,0,2,1,2,1,2,3,4,3,3,4,3,5,Neutral or Dissatisfied
85593,Male,39,Returning,Business,1685,0,5,0,0,1,2,1,3,5,3,4,2,3,3,3,Satisfied
85594,Male,35,Returning,Business,2605,1,0,1,1,3,2,1,5,4,5,5,5,5,5,3,Satisfied
85595,Female,26,First-time,Economy,192,0,0,1,3,4,3,2,2,3,4,3,3,2,3,2,Neutral or Dissatisfied
85597,Male,38,Returning,Business,153,0,0,1,1,1,4,1,1,3,1,2,2,1,1,2,Neutral or Dissatisfied
85599,Female,63,Returning,Economy,259,0,1,1,1,3,2,1,4,5,4,5,3,4,4,4,Satisfied
85600,Female,25,First-time,Economy,317,9,5,4,0,4,0,4,5,5,1,5,5,3,5,2,Satisfied
85601,Female,70,Returning,Business,192,5,4,2,2,3,3,2,3,4,3,3,3,3,3,2,Neutral or Dissatisfied
85602,Female,42,Returning,Business,3262,6,2,0,0,5,3,4,3,4,3,3,5,3,3,3,Satisfied
85603,Female,72,Returning,Business,2627,0,0,3,3,3,4,3,1,4,1,1,2,1,1,1,Neutral or Dissatisfied
85604,Female,38,Returning,Business,192,0,0,3,3,3,2,3,1,2,1,1,3,1,1,3,Neutral or Dissatisfied
85605,Female,65,Returning,Economy,153,0,0,4,0,3,4,1,4,4,0,5,2,4,4,4,Neutral or Dissatisfied
85606,Male,31,Returning,Economy,153,0,0,5,1,3,1,1,3,3,4,3,3,4,3,5,Neutral or Dissatisfied
85607,Male,31,Returning,Economy,192,8,4,5,0,3,0,5,4,4,2,4,4,5,4,5,Neutral or Dissatisfied
85609,Female,64,Returning,Economy,192,0,0,5,3,4,5,4,1,4,3,5,5,1,1,1,Neutral or Dissatisfied
85610,Female,10,Returning,Economy,259,0,0,2,0,4,0,3,4,5,4,5,5,3,5,4,Neutral or Dissatisfied
85612,Female,31,Returning,Economy,259,0,0,4,3,1,3,2,1,1,1,1,1,3,1,4,Neutral or Dissatisfied
85613,Male,65,Returning,Economy,259,0,0,4,1,3,1,3,3,2,2,2,2,4,2,3,Neutral or Dissatisfied
85614,Male,32,Returning,Economy,259,7,0,0,3,5,3,4,3,4,3,4,4,4,4,4,Neutral or Dissatisfied
85615,Male,18,Returning,Economy,259,0,0,5,3,4,3,4,5,4,4,4,4,4,4,3,Neutral or Dissatisfied
85617,Female,68,Returning,Economy,259,0,0,4,0,5,5,4,2,5,0,1,3,2,2,2,Neutral or Dissatisfied
85619,Male,49,Returning,Economy,153,0,0,4,0,5,0,3,3,4,2,2,2,5,2,5,Neutral or Dissatisfied
85620,Female,33,Returning,Economy,259,0,10,3,1,2,1,4,1,2,5,2,2,1,2,4,Neutral or Dissatisfied
85621,Male,57,Returning,Economy,259,2,8,4,1,5,1,4,2,3,1,3,3,3,3,4,Neutral or Dissatisfied
85622,Male,7,Returning,Economy,317,0,2,5,4,3,4,2,2,5,5,5,5,5,5,1,Satisfied
85623,Female,54,Returning,Economy,259,0,4,5,1,5,1,1,2,2,1,2,1,2,2,2,Neutral or Dissatisfied
85625,Female,39,Returning,Economy,259,0,8,3,0,2,0,4,2,1,5,3,3,3,3,4,Neutral or Dissatisfied
85626,Male,21,Returning,Economy,259,0,0,2,0,3,0,2,3,1,1,1,1,1,1,1,Neutral or Dissatisfied
85627,Female,31,Returning,Economy,259,3,4,3,3,2,3,2,1,1,3,1,1,2,1,4,Neutral or Dissatisfied
85628,Female,61,Returning,Economy,192,2,1,5,1,5,4,2,2,5,1,3,3,2,2,2,Neutral or Dissatisfied
85630,Male,41,Returning,Economy,259,0,2,3,1,3,1,3,1,5,1,5,5,1,5,4,Neutral or Dissatisfied
85631,Female,44,Returning,Economy,192,0,0,4,2,4,4,5,1,5,2,4,2,1,1,1,Neutral or Dissatisfied
85632,Female,18,Returning,Economy,153,0,0,4,4,5,4,3,4,1,2,4,4,1,4,5,Neutral or Dissatisfied
85634,Female,43,Returning,Economy,259,0,0,3,2,4,1,1,2,4,2,5,1,2,2,2,Neutral or Dissatisfied
85635,Female,70,Returning,Economy,153,0,6,4,3,4,4,3,3,4,3,2,4,3,3,3,Neutral or Dissatisfied
85636,Female,56,Returning,Economy,317,7,5,4,5,2,3,3,4,3,5,4,4,4,4,4,Neutral or Dissatisfied
85637,Male,11,Returning,Economy,153,0,0,3,3,1,3,1,5,5,4,5,5,3,5,5,Neutral or Dissatisfied
85638,Male,22,Returning,Economy,317,0,0,4,4,4,4,3,5,4,3,4,4,3,4,5,Neutral or Dissatisfied
85639,Male,43,Returning,Economy,259,1,0,5,1,1,1,2,1,5,3,2,2,3,2,5,Neutral or Dissatisfied
85640,Male,33,Returning,Economy,259,0,0,3,0,1,0,4,2,4,2,4,4,5,4,1,Neutral or Dissatisfied
85642,Male,46,Returning,Business,259,0,0,0,0,4,4,4,4,5,4,5,2,4,4,4,Satisfied
85643,Female,24,Returning,Economy Plus,259,0,0,4,4,1,2,4,1,3,2,2,2,3,2,3,Neutral or Dissatisfied
85644,Female,45,Returning,Business,1833,0,0,3,3,4,4,3,5,5,5,3,5,5,5,5,Satisfied
85645,Female,55,Returning,Business,2804,0,0,5,5,3,4,5,5,4,5,4,4,5,5,4,Satisfied
85646,Male,44,Returning,Business,3100,0,0,4,1,5,4,5,2,5,2,5,5,2,2,2,Satisfied
85647,Female,35,Returning,Economy Plus,259,9,8,4,3,4,1,4,4,1,3,1,1,3,1,3,Neutral or Dissatisfied
85648,Female,26,Returning,Economy Plus,153,0,0,5,4,4,4,4,4,3,3,3,3,4,3,4,Satisfied
85649,Male,54,Returning,Economy Plus,192,0,0,2,0,1,0,4,4,5,4,5,5,4,5,3,Neutral or Dissatisfied
85655,Female,32,Returning,Economy Plus,259,0,0,5,2,5,2,5,5,1,5,3,3,1,3,1,Neutral or Dissatisfied
85656,Male,44,Returning,Business,3064,0,0,2,2,5,5,2,4,4,4,5,3,4,4,4,Satisfied
85659,Female,18,Returning,Business,903,0,0,4,2,4,2,4,3,5,4,5,5,4,5,4,Neutral or Dissatisfied
85660,Male,45,Returning,Business,2462,0,0,5,5,4,5,5,4,4,4,5,4,4,4,4,Satisfied
85661,Female,60,Returning,Business,903,0,0,1,1,3,5,1,5,4,5,3,3,5,5,5,Satisfied
85663,Female,59,Returning,Business,1889,0,0,3,3,5,5,3,3,5,3,5,2,3,3,3,Satisfied
85664,Male,27,Returning,Business,903,0,1,2,5,3,5,5,3,5,4,5,5,4,5,5,Satisfied
85665,Male,45,Returning,Business,903,0,0,2,2,5,5,2,5,5,5,5,2,5,5,5,Satisfied
85666,Male,31,Returning,Business,3224,2,0,5,5,1,2,5,2,1,3,1,1,4,1,4,Neutral or Dissatisfied
85667,Male,25,First-time,Economy,903,1,0,2,2,1,2,2,4,3,5,3,3,3,3,2,Neutral or Dissatisfied
85668,Male,56,Returning,Business,3602,0,0,2,2,4,5,2,5,4,5,4,3,5,5,5,Satisfied
85669,Female,13,Returning,Business,2544,0,0,1,3,3,3,3,4,3,3,3,3,3,3,4,Neutral or Dissatisfied
85670,Female,18,First-time,Business,903,0,0,0,0,4,0,3,5,4,5,4,4,5,4,5,Satisfied
85672,Female,23,Returning,Economy,903,2,0,4,3,1,3,3,5,1,5,1,1,5,1,3,Neutral or Dissatisfied
85673,Female,23,Returning,Economy,903,0,0,2,3,2,3,3,3,1,3,3,3,4,3,3,Neutral or Dissatisfied
85675,Male,41,Returning,Economy,903,0,0,5,2,4,2,2,4,2,4,2,2,4,2,4,Neutral or Dissatisfied
85678,Female,37,Returning,Economy Plus,503,0,0,1,1,4,4,1,1,4,2,4,4,1,4,3,Satisfied
85679,Male,56,Returning,Business,1547,0,0,4,4,3,4,4,4,5,4,5,2,4,4,4,Satisfied
85682,Male,40,Returning,Business,1547,7,0,5,5,4,4,5,5,5,5,4,5,5,5,5,Satisfied
85683,Male,39,Returning,Business,1547,0,0,4,4,3,5,4,5,4,5,4,4,5,5,5,Satisfied
85685,Female,41,Returning,Business,1547,0,3,4,4,3,4,4,5,4,5,3,3,5,5,5,Satisfied
85687,Female,51,Returning,Business,1547,0,0,2,2,3,5,2,4,5,4,4,3,4,4,4,Satisfied
85688,Female,54,First-time,Business,1547,0,0,2,2,4,1,1,5,3,3,5,5,4,5,5,Neutral or Dissatisfied
85689,Female,25,First-time,Business,1547,0,0,5,4,3,4,4,3,5,4,5,5,5,5,4,Neutral or Dissatisfied
85690,Female,46,Returning,Business,1547,0,0,4,4,3,4,4,5,4,5,5,3,5,5,5,Satisfied
85691,Male,34,Returning,Business,1547,1,0,2,1,5,5,2,4,4,4,3,4,4,4,4,Satisfied
85692,Female,59,Returning,Business,1547,0,0,4,4,4,4,4,3,4,3,5,2,3,3,3,Satisfied
85693,Female,46,Returning,Business,1547,0,0,2,2,4,4,2,4,5,4,3,3,4,4,4,Satisfied
85695,Male,46,Returning,Business,1547,0,0,5,5,5,4,5,4,5,4,3,5,4,4,4,Satisfied
85696,Male,26,First-time,Business,1547,0,0,0,0,3,0,2,3,4,5,4,4,4,4,4,Satisfied
85697,Female,31,Returning,Business,1547,0,6,4,4,4,2,4,3,2,5,2,2,4,2,3,Neutral or Dissatisfied
85698,Female,31,Returning,Business,1547,5,0,1,1,2,2,1,3,2,3,2,2,3,2,2,Neutral or Dissatisfied
85699,Female,42,Returning,Economy,1147,0,0,5,5,4,5,5,4,3,4,2,2,4,4,4,Satisfied
85700,Male,37,Returning,Business,3425,8,0,3,3,1,2,3,4,5,4,2,1,4,4,4,Satisfied
85701,Female,24,Returning,Business,1547,0,0,1,1,5,3,1,2,3,1,3,3,1,3,4,Satisfied
85702,Female,37,First-time,Economy,1147,0,0,3,3,3,3,2,4,1,2,1,1,1,1,1,Neutral or Dissatisfied
85703,Female,61,Returning,Economy,1547,0,0,4,2,5,4,4,3,5,2,3,5,3,3,4,Neutral or Dissatisfied
85704,Female,29,Returning,Economy,1547,1,0,3,3,4,3,2,1,4,4,4,4,3,4,2,Neutral or Dissatisfied
85705,Male,39,Returning,Economy,1547,2,6,4,2,5,2,4,4,4,4,4,4,5,4,5,Neutral or Dissatisfied
85706,Female,51,Returning,Economy,1547,0,0,3,3,4,2,3,2,2,3,3,2,2,2,2,Neutral or Dissatisfied
85707,Female,42,Returning,Economy,1547,0,0,5,4,3,5,3,1,5,4,3,4,1,1,1,Satisfied
85708,Female,48,Returning,Economy,1547,0,0,2,1,4,4,4,4,4,1,1,3,4,4,3,Neutral or Dissatisfied
85709,Female,44,Returning,Economy,1547,0,0,4,2,3,5,5,2,4,2,5,2,2,2,2,Neutral or Dissatisfied
85711,Female,38,Returning,Business,1547,5,0,4,4,5,5,4,4,5,4,4,4,4,4,4,Satisfied
85713,Male,40,Returning,Business,1547,1,0,1,1,4,5,1,2,5,3,4,2,2,2,2,Satisfied
85714,Female,39,Returning,Business,1547,0,0,4,4,3,4,4,5,4,5,5,2,5,5,5,Satisfied
85716,Female,47,Returning,Business,2407,0,0,3,3,5,4,3,4,5,4,4,3,4,4,4,Satisfied
85717,Male,48,Returning,Business,1895,0,0,5,5,5,4,5,5,4,5,3,3,5,5,5,Satisfied
85719,Male,24,First-time,Business,620,0,0,4,5,5,5,1,4,1,4,4,4,5,4,5,Satisfied
85721,Female,36,Returning,Business,666,0,0,3,3,3,5,3,4,4,4,3,3,4,4,4,Satisfied
85722,Male,56,Returning,Business,3959,0,0,2,2,4,5,2,4,4,4,4,2,4,4,4,Satisfied
85723,Male,56,Returning,Business,3540,0,0,3,2,5,4,3,5,4,5,3,5,5,5,5,Satisfied
85724,Male,49,First-time,Business,666,0,0,1,1,5,1,4,4,2,2,3,3,4,3,5,Neutral or Dissatisfied
85726,Female,56,Returning,Business,3867,0,0,4,4,4,3,4,1,4,1,4,4,1,1,4,Neutral or Dissatisfied
85727,Female,16,Returning,Business,666,0,0,5,1,5,1,4,4,1,3,1,1,4,1,5,Neutral or Dissatisfied
85728,Male,37,First-time,Business,666,0,0,3,3,5,3,4,4,4,4,3,3,5,3,4,Neutral or Dissatisfied
85729,Female,48,Returning,Business,3456,0,0,2,2,3,4,2,4,4,4,3,2,4,4,4,Satisfied
85730,Male,26,Returning,Business,666,0,0,5,1,5,4,5,3,4,2,4,4,4,4,4,Satisfied
85731,Female,52,Returning,Business,2032,0,8,4,2,5,4,4,4,5,4,3,5,4,4,4,Satisfied
85733,Female,24,First-time,Economy,666,4,0,0,1,4,1,3,3,5,4,5,5,5,5,5,Neutral or Dissatisfied
85734,Male,59,Returning,Business,2531,0,0,3,3,3,5,3,5,4,5,5,2,5,5,5,Satisfied
85737,Male,59,Returning,Business,526,0,0,1,1,4,4,1,4,5,4,4,2,4,4,4,Satisfied
85738,Male,39,Returning,Business,3874,0,0,4,4,3,5,4,5,4,5,4,5,5,5,5,Satisfied
85739,Male,46,Returning,Business,666,0,0,1,1,4,4,1,4,5,4,5,3,4,4,4,Satisfied
85740,Male,54,Returning,Business,666,0,0,5,5,4,4,5,4,5,4,3,5,4,4,4,Satisfied
85742,Female,45,Returning,Business,1999,0,0,2,2,3,5,2,3,4,3,5,2,3,3,3,Satisfied
85744,Male,28,Returning,Business,3010,0,0,2,2,5,2,2,5,2,5,2,2,4,2,4,Satisfied
85747,Male,48,Returning,Business,666,0,0,4,4,2,3,4,4,4,4,4,3,4,4,4,Neutral or Dissatisfied
85748,Male,39,Returning,Business,526,0,0,5,5,5,5,5,5,5,5,3,2,5,5,5,Satisfied
85749,Male,56,Returning,Business,666,3,0,4,3,3,4,4,4,4,4,4,4,4,4,4,Satisfied
85750,Male,42,Returning,Business,666,0,0,2,2,3,4,2,4,5,4,5,3,4,4,4,Satisfied
85751,Female,44,Returning,Business,1944,8,0,2,2,3,4,2,4,4,4,4,3,4,4,4,Satisfied
85752,Male,22,First-time,Economy,526,0,0,4,1,3,1,2,4,4,2,4,4,5,4,5,Neutral or Dissatisfied
85753,Female,43,First-time,Business,666,0,4,5,5,4,5,3,3,5,5,5,5,5,5,4,Satisfied
85754,Female,23,Returning,Business,526,4,6,5,5,5,4,5,5,4,2,4,4,4,4,4,Satisfied
85758,Male,54,Returning,Business,666,0,0,1,2,3,4,2,5,4,5,5,5,5,5,5,Satisfied
85760,Female,26,First-time,Business,526,0,0,0,0,5,0,2,3,2,2,2,2,5,2,5,Satisfied
85761,Male,54,Returning,Business,2563,0,0,5,2,4,5,5,5,5,5,3,5,5,5,5,Satisfied
85762,Female,56,Returning,Business,3534,0,2,5,5,4,5,5,5,4,5,5,2,5,5,5,Satisfied
85763,Male,47,Returning,Business,666,0,0,4,4,5,5,4,5,5,5,3,3,5,5,5,Satisfied
85765,Female,42,Returning,Business,666,5,0,5,5,5,4,5,4,4,4,4,3,4,4,4,Satisfied
85766,Male,47,Returning,Business,666,0,0,4,4,3,4,4,5,4,5,4,3,5,5,5,Satisfied
85768,Female,20,Returning,Business,526,0,0,3,3,5,5,3,4,5,5,5,5,4,5,5,Satisfied
85769,Male,58,Returning,Business,666,0,0,4,4,3,4,4,4,4,4,3,2,4,4,4,Satisfied
85770,Male,55,Returning,Business,2766,0,0,5,5,5,5,5,5,4,5,4,4,5,5,5,Satisfied
85771,Female,11,Returning,Business,666,1,9,2,3,2,2,3,4,2,4,2,2,3,2,4,Neutral or Dissatisfied
85772,Male,30,Returning,Business,1802,0,0,1,1,5,4,1,5,4,4,4,4,5,4,4,Satisfied
85775,Male,14,First-time,Economy,526,0,0,0,0,4,0,4,4,5,3,5,5,4,5,5,Satisfied
85776,Female,45,Returning,Business,2689,0,0,3,3,5,5,3,2,5,2,3,5,2,2,2,Satisfied
85778,Male,53,Returning,Business,2697,6,0,2,2,3,5,2,2,4,2,5,5,2,2,2,Satisfied
85780,Female,39,Returning,Business,620,5,0,1,1,3,4,1,5,5,5,4,5,5,5,5,Satisfied
85781,Female,51,Returning,Business,2300,1,0,4,4,4,4,4,2,5,2,5,3,2,2,2,Satisfied
85782,Female,51,Returning,Business,1780,0,0,2,2,3,4,2,2,4,2,3,2,2,2,2,Satisfied
85784,Female,24,Returning,Business,666,9,0,5,5,5,4,5,3,4,3,4,4,4,4,5,Satisfied
85785,Female,42,Returning,Business,666,0,0,5,2,3,4,5,3,4,3,5,4,3,3,3,Satisfied
85786,Female,58,Returning,Business,2196,1,0,3,3,4,5,3,2,4,2,5,4,2,2,2,Satisfied
85787,Female,60,Returning,Business,666,3,0,1,1,4,4,1,4,5,4,4,3,4,4,4,Satisfied
85788,Female,53,Returning,Business,3955,0,0,2,5,5,4,2,4,5,4,3,3,4,4,4,Satisfied
85789,Female,72,First-time,Economy,526,0,2,2,3,2,3,4,2,2,2,2,2,4,2,4,Neutral or Dissatisfied
85790,Male,72,Returning,Business,1778,0,0,1,4,5,5,1,2,5,3,3,3,2,2,2,Satisfied
85792,Female,22,First-time,Economy,666,1,0,0,3,5,3,5,4,2,5,2,2,4,2,4,Neutral or Dissatisfied
85793,Female,51,Returning,Business,3806,0,0,1,1,1,3,1,2,2,2,1,5,2,2,2,Neutral or Dissatisfied
85794,Female,59,First-time,Economy,526,0,0,2,2,1,2,2,4,4,4,4,4,2,4,3,Neutral or Dissatisfied
85796,Male,50,Returning,Business,126,2,0,4,0,5,3,2,4,3,4,4,5,4,4,4,Satisfied
85798,Male,46,Returning,Business,1792,6,0,4,4,2,3,4,5,1,5,3,1,5,5,5,Satisfied
85799,Female,24,First-time,Economy,126,3,1,3,5,4,5,1,4,2,5,2,2,3,2,2,Satisfied
85800,Female,24,First-time,Economy,126,0,0,3,2,5,2,1,2,2,5,2,2,3,2,2,Neutral or Dissatisfied
85801,Male,45,Returning,Economy,266,0,0,4,4,1,4,4,3,4,4,4,4,4,4,3,Neutral or Dissatisfied
85802,Male,46,Returning,Economy,266,0,0,2,2,2,4,2,1,3,4,3,3,3,3,3,Neutral or Dissatisfied
85804,Male,43,Returning,Economy,266,0,0,5,5,3,4,5,5,4,2,4,4,1,4,1,Satisfied
85805,Female,47,First-time,Economy,266,1,0,0,3,3,3,4,1,4,1,5,5,3,5,5,Neutral or Dissatisfied
85806,Female,27,Returning,Economy,666,0,0,1,4,3,4,3,3,2,5,2,2,2,2,2,Neutral or Dissatisfied
