ID,Gender,Age,Customer Type,Cabin Type,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Entertainment,Baggage Handling,Satisfaction,Distance Group,EntertainmentRating,FoodRating,GroundServiceRating,OverallScore,Recommended,SeatComfortRating,ServiceRating,ValueRating,WifiRating
85511,Male,12,Returning,Economy,214,0,0,1,3,3,3,3,3,5,1,5,5,2,5,3,Neutral or Dissatisfied,short distance,2,2,4,8,yes,3,3,5,0
85513,Female,46,Returning,Business,214,0,0,5,0,3,5,2,3,5,3,4,5,3,3,2,Satisfied,short distance,1,1,1,1,no,1,1,1,1
85514,Male,59,Returning,Business,1734,0,0,3,4,3,4,3,5,4,5,3,2,5,5,4,Satisfied,moderate distance,1,1,3,4,no,2,3,2,4
85515,Female,40,Returning,Business,3276,3,1,4,0,4,4,2,4,4,4,3,5,4,4,2,Satisfied,long distance,3,2,3,3,no,3,1,1,0
85517,Female,30,Returning,Economy Plus,152,0,0,1,4,2,3,4,3,3,1,3,3,4,3,4,Neutral or Dissatisfied,short distance,3,3,1,3,no,1,4,2,3
85518,Female,49,Returning,Business,3095,4,0,0,0,5,5,1,5,4,5,5,5,5,5,5,Satisfied,long distance,2,2,2,2,no,2,5,1,1
85519,Male,33,Returning,Economy Plus,332,0,0,4,4,1,2,4,2,2,3,2,2,3,2,3,Neutral or Dissatisfied,short distance,0,1,1,2,no,1,1,1,0
85520,Male,16,Returning,Economy Plus,332,0,0,5,2,3,2,2,4,5,2,5,5,4,5,4,Neutral or Dissatisfied,short distance,5,5,5,10,yes,5,5,5,5
85523,Male,39,Returning,Business,2102,0,0,4,5,4,4,4,4,4,4,4,3,4,4,4,Satisfied,long distance,1,1,2,3,no,4,1,2,3
85524,Male,40,Returning,Business,259,0,0,0,0,4,5,2,3,5,3,4,3,3,3,3,Satisfied,short distance,0,2,2,2,no,3,4,1,1
85525,Male,64,First-time,Business,259,0,4,2,2,4,2,3,4,4,1,4,4,4,4,4,Neutral or Dissatisfied,short distance,0,0,0,1,no,0,0,1,0
85526,Female,57,Returning,Business,1919,0,0,4,4,4,4,4,5,5,5,4,2,5,5,5,Satisfied,long distance,1,1,1,1,no,1,1,1,1
85527,Female,40,First-time,Business,259,0,0,4,4,5,4,3,3,5,3,5,5,5,5,4,Satisfied,short distance,0,1,2,1,no,2,1,1,0
85529,Male,68,Returning,Business,259,0,0,3,4,3,5,4,4,1,4,2,5,4,4,4,Neutral or Dissatisfied,short distance,5,5,4,5,no,5,5,3,4
85530,Female,22,Returning,Business,259,0,0,1,0,2,0,3,2,5,5,5,5,3,5,2,Neutral or Dissatisfied,short distance,3,3,1,1,no,5,5,1,0
85531,Female,39,Returning,Business,259,0,0,3,4,4,4,4,4,5,4,3,3,4,4,4,Satisfied,short distance,4,5,4,8,yes,5,5,3,3
85532,Female,46,Returning,Business,259,0,0,5,5,5,5,5,4,4,4,5,5,4,4,4,Satisfied,short distance,5,4,5,8,yes,5,5,5,0
85533,Female,33,Returning,Business,3372,0,0,4,4,4,5,4,4,5,4,3,3,4,4,4,Satisfied,long distance,0,5,5,10,yes,3,5,5,0
85534,Female,50,Returning,Business,153,0,0,1,1,4,4,1,4,4,4,4,2,4,4,4,Satisfied,short distance,0,0,2,1,no,2,2,1,0
85535,Female,47,Returning,Business,1848,6,5,5,5,4,5,5,5,4,5,4,4,5,5,5,Satisfied,long distance,0,0,3,9,yes,3,5,5,0
85536,Female,29,First-time,Business,192,0,6,5,5,3,5,4,5,4,4,4,4,4,4,5,Satisfied,short distance,0,1,1,1,no,1,1,1,0
85539,Female,24,First-time,Economy,317,0,2,5,2,5,2,5,3,5,4,5,5,5,5,5,Neutral or Dissatisfied,short distance,0,0,0,1,no,0,0,1,0
85542,Female,40,Returning,Business,3194,0,0,2,2,5,4,2,4,4,4,3,3,4,4,4,Satisfied,long distance,3,4,4,7,yes,3,5,3,0
85543,Male,46,Returning,Business,259,0,0,5,4,3,4,4,4,4,4,3,5,4,4,4,Satisfied,short distance,0,2,1,1,no,2,3,1,0
85545,Male,40,First-time,Business,259,1,0,2,2,4,2,4,4,2,5,2,2,4,2,5,Neutral or Dissatisfied,short distance,3,4,4,8,yes,4,4,4,3
85546,Female,55,Returning,Business,1567,0,0,4,4,5,4,4,5,5,5,3,4,5,5,4,Satisfied,moderate distance,1,1,1,1,no,1,1,1,1
85547,Female,40,Returning,Business,2935,0,0,1,1,5,5,1,4,5,4,4,3,4,4,4,Satisfied,long distance,0,1,1,1,no,2,1,1,1
85548,Male,58,Returning,Business,2314,0,0,1,1,3,5,2,1,4,1,5,2,1,1,1,Satisfied,long distance,3,4,4,5,yes,4,1,3,5
85550,Female,46,Returning,Business,2022,0,0,3,3,3,5,3,5,5,5,3,4,5,5,5,Satisfied,long distance,0,0,1,1,no,0,0,1,0
85551,Female,48,Returning,Business,259,6,1,2,2,5,4,2,4,5,4,4,5,4,4,4,Satisfied,short distance,0,0,2,1,no,1,2,1,0
85552,Female,26,First-time,Economy,259,9,10,4,2,3,2,4,3,4,2,2,2,4,2,4,Neutral or Dissatisfied,short distance,5,5,5,1,no,5,5,1,5
85553,Female,53,Returning,Business,2853,0,0,3,5,4,4,3,5,5,5,3,5,5,5,5,Satisfied,long distance,0,5,5,10,yes,5,5,5,0
85554,Female,49,Returning,Business,317,0,0,1,1,4,4,1,4,5,4,5,3,4,4,4,Satisfied,short distance,5,5,5,9,yes,5,5,4,4
85555,Female,20,First-time,Business,192,0,0,5,5,4,5,1,3,5,2,5,5,5,5,4,Satisfied,short distance,4,4,3,8,yes,5,5,4,0
85556,Female,48,Returning,Business,153,0,0,5,5,4,5,5,5,5,5,5,5,5,5,4,Satisfied,short distance,5,5,4,10,yes,5,5,5,5
85557,Female,49,Returning,Business,153,0,0,4,0,5,4,3,3,4,3,4,4,3,3,3,Satisfied,short distance,3,5,5,5,yes,3,5,4,1
85559,Female,56,First-time,Business,192,1,0,4,4,3,4,4,4,1,2,1,1,4,1,5,Neutral or Dissatisfied,short distance,0,0,1,1,no,1,1,1,0
85563,Female,64,Returning,Business,2010,0,0,1,1,1,2,1,3,2,3,3,3,3,3,1,Neutral or Dissatisfied,long distance,3,3,4,7,yes,5,5,3,0
85564,Female,55,Returning,Economy,153,0,0,5,5,1,2,5,2,2,3,1,5,2,2,2,Neutral or Dissatisfied,short distance,2,1,3,2,no,1,4,2,1
85565,Female,44,Returning,Business,3340,0,0,0,0,5,4,3,5,4,5,3,4,5,5,5,Satisfied,long distance,4,3,3,7,yes,3,3,4,5
85566,Male,52,Returning,Business,3286,0,0,4,4,4,3,4,3,3,3,2,3,3,3,3,Neutral or Dissatisfied,long distance,3,1,1,3,no,2,1,1,0
85567,Female,30,Returning,Business,3560,1,0,0,0,4,3,4,3,3,5,3,3,4,3,4,Satisfied,long distance,0,2,3,2,no,1,2,1,0
85568,Male,55,Returning,Business,2520,0,0,4,5,5,5,5,4,4,4,4,2,4,4,4,Satisfied,long distance,0,0,1,1,no,1,1,1,0
85569,Male,36,Returning,Business,3114,0,0,1,1,4,5,1,3,4,4,5,4,3,3,5,Satisfied,long distance,1,2,1,3,no,3,3,2,0
85570,Male,48,Returning,Business,259,0,0,0,0,4,4,1,3,4,3,3,4,3,3,3,Satisfied,short distance,0,1,1,2,no,3,2,1,1
85571,Male,19,First-time,Economy,259,0,0,4,2,1,2,3,1,1,2,1,1,4,1,3,Neutral or Dissatisfied,short distance,4,4,4,8,yes,4,5,4,0
85574,Female,21,First-time,Economy,192,0,0,0,4,5,4,4,5,4,4,1,1,4,1,4,Satisfied,short distance,0,0,0,1,no,0,0,1,0
85575,Female,30,Returning,Business,2927,2,8,3,3,4,2,3,4,2,5,2,2,2,2,1,Neutral or Dissatisfied,long distance,0,0,0,1,no,0,0,1,0
85576,Female,47,Returning,Economy,259,0,0,1,1,2,4,1,3,3,3,3,4,3,3,3,Neutral or Dissatisfied,short distance,0,0,1,1,no,1,1,1,0
85577,Female,80,Returning,Business,3464,0,0,1,1,5,4,1,4,4,4,4,2,4,4,4,Satisfied,long distance,5,4,4,10,yes,5,5,4,4
85579,Female,68,First-time,Economy,259,4,6,2,4,2,4,4,2,3,2,2,2,3,2,3,Neutral or Dissatisfied,short distance,5,5,3,3,no,5,5,2,0
85580,Female,36,First-time,Business,259,0,0,2,2,4,2,1,3,5,2,5,5,5,5,5,Neutral or Dissatisfied,short distance,4,1,4,3,no,1,4,2,1
85581,Female,25,First-time,Business,259,0,2,0,2,3,2,5,3,3,5,3,3,4,3,5,Neutral or Dissatisfied,short distance,4,5,5,10,yes,5,5,5,5
85582,Male,44,Returning,Business,2280,9,9,5,5,4,4,5,5,4,5,4,5,5,5,4,Satisfied,long distance,0,5,3,8,yes,5,5,5,0
85584,Female,50,Returning,Business,2973,0,0,2,2,4,4,2,2,3,3,1,2,2,2,4,Neutral or Dissatisfied,long distance,0,1,1,1,no,1,2,1,0
85585,Female,24,Returning,Business,2740,3,0,4,4,4,4,4,3,4,1,4,4,3,4,4,Neutral or Dissatisfied,long distance,0,0,1,2,no,0,0,1,0
85586,Female,58,Returning,Business,153,0,0,1,1,3,5,1,5,5,5,4,3,5,5,5,Satisfied,short distance,0,4,5,10,yes,3,5,5,0
85587,Female,60,Returning,Business,3464,3,0,5,2,4,4,5,4,4,4,4,4,4,4,4,Satisfied,long distance,0,4,4,8,yes,4,5,3,0
85591,Male,42,Returning,Business,3525,0,0,0,0,5,1,1,4,4,5,4,2,4,4,5,Satisfied,long distance,2,2,1,3,no,1,3,1,1
85592,Female,25,First-time,Economy,153,0,0,0,2,1,2,1,2,3,4,3,3,4,3,5,Neutral or Dissatisfied,short distance,1,1,1,1,no,2,1,1,1
85593,Male,39,Returning,Business,1685,0,5,0,0,1,2,1,3,5,3,4,2,3,3,3,Satisfied,moderate distance,1,1,1,1,no,2,1,1,1
85594,Male,35,Returning,Business,2605,1,0,1,1,3,2,1,5,4,5,5,5,5,5,3,Satisfied,long distance,0,5,1,6,yes,3,5,4,0
85595,Female,26,First-time,Economy,192,0,0,1,3,4,3,2,2,3,4,3,3,2,3,2,Neutral or Dissatisfied,short distance,0,1,2,1,no,1,1,1,0
85597,Male,38,Returning,Business,153,0,0,1,1,1,4,1,1,3,1,2,2,1,1,2,Neutral or Dissatisfied,short distance,0,0,0,1,no,0,0,1,0
85599,Female,63,Returning,Economy,259,0,1,1,1,3,2,1,4,5,4,5,3,4,4,4,Satisfied,short distance,0,0,1,1,no,1,1,1,0
85600,Female,25,First-time,Economy,317,9,5,4,0,4,0,4,5,5,1,5,5,3,5,2,Satisfied,short distance,0,0,0,1,no,0,0,1,0
85601,Female,70,Returning,Business,192,5,4,2,2,3,3,2,3,4,3,3,3,3,3,2,Neutral or Dissatisfied,short distance,0,0,0,1,no,0,0,1,0
85602,Female,42,Returning,Business,3262,6,2,0,0,5,3,4,3,4,3,3,5,3,3,3,Satisfied,long distance,0,0,0,1,no,0,0,1,0
85603,Female,72,Returning,Business,2627,0,0,3,3,3,4,3,1,4,1,1,2,1,1,1,Neutral or Dissatisfied,long distance,4,5,5,9,yes,4,5,5,0
85604,Female,38,Returning,Business,192,0,0,3,3,3,2,3,1,2,1,1,3,1,1,3,Neutral or Dissatisfied,short distance,2,4,1,7,yes,2,5,4,0
85605,Female,65,Returning,Economy,153,0,0,4,0,3,4,1,4,4,0,5,2,4,4,4,Neutral or Dissatisfied,short distance,5,5,5,10,yes,5,5,5,5
85606,Male,31,Returning,Economy,153,0,0,5,1,3,1,1,3,3,4,3,3,4,3,5,Neutral or Dissatisfied,short distance,2,5,5,8,yes,2,5,4,0
85607,Male,31,Returning,Economy,192,8,4,5,0,3,0,5,4,4,2,4,4,5,4,5,Neutral or Dissatisfied,short distance,5,2,1,5,no,2,5,3,1
85609,Female,64,Returning,Economy,192,0,0,5,3,4,5,4,1,4,3,5,5,1,1,1,Neutral or Dissatisfied,short distance,1,1,1,1,no,1,1,2,1
85610,Female,10,Returning,Economy,259,0,0,2,0,4,0,3,4,5,4,5,5,3,5,4,Neutral or Dissatisfied,short distance,0,0,1,4,no,2,1,2,0
85612,Female,31,Returning,Economy,259,0,0,4,3,1,3,2,1,1,1,1,1,3,1,4,Neutral or Dissatisfied,short distance,0,0,1,1,no,1,1,1,0
85613,Male,65,Returning,Economy,259,0,0,4,1,3,1,3,3,2,2,2,2,4,2,3,Neutral or Dissatisfied,short distance,4,5,4,7,yes,4,3,5,0
85614,Male,32,Returning,Economy,259,7,0,0,3,5,3,4,3,4,3,4,4,4,4,4,Neutral or Dissatisfied,short distance,2,2,4,4,no,3,3,3,0
85615,Male,18,Returning,Economy,259,0,0,5,3,4,3,4,5,4,4,4,4,4,4,3,Neutral or Dissatisfied,short distance,5,4,1,4,no,4,5,1,0
85617,Female,68,Returning,Economy,259,0,0,4,0,5,5,4,2,5,0,1,3,2,2,2,Neutral or Dissatisfied,short distance,1,1,4,2,no,1,1,2,2
85619,Male,49,Returning,Economy,153,0,0,4,0,5,0,3,3,4,2,2,2,5,2,5,Neutral or Dissatisfied,short distance,0,5,5,10,yes,5,5,5,0
85620,Female,33,Returning,Economy,259,0,10,3,1,2,1,4,1,2,5,2,2,1,2,4,Neutral or Dissatisfied,short distance,1,3,1,1,no,4,4,2,1
85621,Male,57,Returning,Economy,259,2,8,4,1,5,1,4,2,3,1,3,3,3,3,4,Neutral or Dissatisfied,short distance,2,2,3,6,yes,3,2,2,1
85622,Male,7,Returning,Economy,317,0,2,5,4,3,4,2,2,5,5,5,5,5,5,1,Satisfied,short distance,1,0,2,6,yes,2,2,3,0
85623,Female,54,Returning,Economy,259,0,4,5,1,5,1,1,2,2,1,2,1,2,2,2,Neutral or Dissatisfied,short distance,0,1,1,2,no,3,1,2,1
85625,Female,39,Returning,Economy,259,0,8,3,0,2,0,4,2,1,5,3,3,3,3,4,Neutral or Dissatisfied,short distance,0,0,1,1,no,2,1,1,0
85626,Male,21,Returning,Economy,259,0,0,2,0,3,0,2,3,1,1,1,1,1,1,1,Neutral or Dissatisfied,short distance,0,0,1,1,no,1,1,1,0
85627,Female,31,Returning,Economy,259,3,4,3,3,2,3,2,1,1,3,1,1,2,1,4,Neutral or Dissatisfied,short distance,0,0,0,1,no,0,0,1,0
85628,Female,61,Returning,Economy,192,2,1,5,1,5,4,2,2,5,1,3,3,2,2,2,Neutral or Dissatisfied,short distance,1,1,5,5,no,3,4,3,0
85630,Male,41,Returning,Economy,259,0,2,3,1,3,1,3,1,5,1,5,5,1,5,4,Neutral or Dissatisfied,short distance,4,1,1,7,yes,4,5,4,0
85631,Female,44,Returning,Economy,192,0,0,4,2,4,4,5,1,5,2,4,2,1,1,1,Neutral or Dissatisfied,short distance,5,3,5,8,yes,2,5,4,3
85632,Female,18,Returning,Economy,153,0,0,4,4,5,4,3,4,1,2,4,4,1,4,5,Neutral or Dissatisfied,short distance,0,0,1,1,no,1,1,4,0
85634,Female,43,Returning,Economy,259,0,0,3,2,4,1,1,2,4,2,5,1,2,2,2,Neutral or Dissatisfied,short distance,0,2,3,7,yes,1,3,3,0
85635,Female,70,Returning,Economy,153,0,6,4,3,4,4,3,3,4,3,2,4,3,3,3,Neutral or Dissatisfied,short distance,0,1,3,2,no,1,1,3,0
85636,Female,56,Returning,Economy,317,7,5,4,5,2,3,3,4,3,5,4,4,4,4,4,Neutral or Dissatisfied,short distance,3,3,2,3,yes,3,4,4,4
85637,Male,11,Returning,Economy,153,0,0,3,3,1,3,1,5,5,4,5,5,3,5,5,Neutral or Dissatisfied,short distance,3,2,2,4,no,2,4,2,1
85638,Male,22,Returning,Economy,317,0,0,4,4,4,4,3,5,4,3,4,4,3,4,5,Neutral or Dissatisfied,short distance,5,5,4,10,yes,4,5,5,0
85639,Male,43,Returning,Economy,259,1,0,5,1,1,1,2,1,5,3,2,2,3,2,5,Neutral or Dissatisfied,short distance,5,4,1,1,no,4,4,3,0
85640,Male,33,Returning,Economy,259,0,0,3,0,1,0,4,2,4,2,4,4,5,4,1,Neutral or Dissatisfied,short distance,3,3,3,3,no,1,1,3,0
85642,Male,46,Returning,Business,259,0,0,0,0,4,4,4,4,5,4,5,2,4,4,4,Satisfied,short distance,1,1,1,1,no,1,1,1,0
85643,Female,24,Returning,Economy Plus,259,0,0,4,4,1,2,4,1,3,2,2,2,3,2,3,Neutral or Dissatisfied,short distance,0,0,1,1,no,1,1,2,0
85644,Female,45,Returning,Business,1833,0,0,3,3,4,4,3,5,5,5,3,5,5,5,5,Satisfied,long distance,0,0,1,1,no,1,1,1,0
85645,Female,55,Returning,Business,2804,0,0,5,5,3,4,5,5,4,5,4,4,5,5,4,Satisfied,long distance,1,1,5,4,no,3,2,2,2
85646,Male,44,Returning,Business,3100,0,0,4,1,5,4,5,2,5,2,5,5,2,2,2,Satisfied,long distance,0,0,0,1,no,0,0,2,0
85647,Female,35,Returning,Economy Plus,259,9,8,4,3,4,1,4,4,1,3,1,1,3,1,3,Neutral or Dissatisfied,short distance,1,3,2,2,no,4,1,1,2
85648,Female,26,Returning,Economy Plus,153,0,0,5,4,4,4,4,4,3,3,3,3,4,3,4,Satisfied,short distance,0,0,1,1,no,1,1,1,1
85649,Male,54,Returning,Economy Plus,192,0,0,2,0,1,0,4,4,5,4,5,5,4,5,3,Neutral or Dissatisfied,short distance,1,1,1,1,no,1,1,1,1
85655,Female,32,Returning,Economy Plus,259,0,0,5,2,5,2,5,5,1,5,3,3,1,3,1,Neutral or Dissatisfied,short distance,5,5,5,10,yes,5,5,5,4
85656,Male,44,Returning,Business,3064,0,0,2,2,5,5,2,4,4,4,5,3,4,4,4,Satisfied,long distance,0,0,1,1,no,3,3,1,0
85659,Female,18,Returning,Business,903,0,0,4,2,4,2,4,3,5,4,5,5,4,5,4,Neutral or Dissatisfied,moderate distance,0,5,5,10,yes,2,5,5,0
85660,Male,45,Returning,Business,2462,0,0,5,5,4,5,5,4,4,4,5,4,4,4,4,Satisfied,long distance,3,3,4,7,yes,2,4,5,0
85661,Female,60,Returning,Business,903,0,0,1,1,3,5,1,5,4,5,3,3,5,5,5,Satisfied,moderate distance,4,1,3,4,no,3,3,2,3
85663,Female,59,Returning,Business,1889,0,0,3,3,5,5,3,3,5,3,5,2,3,3,3,Satisfied,long distance,3,3,3,7,yes,3,4,5,0
85664,Male,27,Returning,Business,903,0,1,2,5,3,5,5,3,5,4,5,5,4,5,5,Satisfied,moderate distance,4,5,4,10,yes,5,5,5,5
85665,Male,45,Returning,Business,903,0,0,2,2,5,5,2,5,5,5,5,2,5,5,5,Satisfied,moderate distance,1,2,1,1,no,3,2,1,4
85666,Male,31,Returning,Business,3224,2,0,5,5,1,2,5,2,1,3,1,1,4,1,4,Neutral or Dissatisfied,long distance,1,1,3,1,no,1,1,1,1
85667,Male,25,First-time,Economy,903,1,0,2,2,1,2,2,4,3,5,3,3,3,3,2,Neutral or Dissatisfied,moderate distance,1,1,1,1,no,1,1,1,1
85668,Male,56,Returning,Business,3602,0,0,2,2,4,5,2,5,4,5,4,3,5,5,5,Satisfied,long distance,1,2,2,1,no,1,1,1,1
85669,Female,13,Returning,Business,2544,0,0,1,3,3,3,3,4,3,3,3,3,3,3,4,Neutral or Dissatisfied,long distance,0,0,1,1,no,1,1,1,0
85670,Female,18,First-time,Business,903,0,0,0,0,4,0,3,5,4,5,4,4,5,4,5,Satisfied,moderate distance,0,1,1,1,no,1,1,1,1
85672,Female,23,Returning,Economy,903,2,0,4,3,1,3,3,5,1,5,1,1,5,1,3,Neutral or Dissatisfied,moderate distance,1,1,1,1,no,1,1,1,1
85673,Female,23,Returning,Economy,903,0,0,2,3,2,3,3,3,1,3,3,3,4,3,3,Neutral or Dissatisfied,moderate distance,0,0,1,1,no,0,0,1,0
85675,Male,41,Returning,Economy,903,0,0,5,2,4,2,2,4,2,4,2,2,4,2,4,Neutral or Dissatisfied,moderate distance,0,1,5,5,yes,4,4,3,0
85678,Female,37,Returning,Economy Plus,503,0,0,1,1,4,4,1,1,4,2,4,4,1,4,3,Satisfied,short distance,3,4,1,1,no,3,3,3,3
85679,Male,56,Returning,Business,1547,0,0,4,4,3,4,4,4,5,4,5,2,4,4,4,Satisfied,moderate distance,0,0,2,2,no,3,2,1,0
85682,Male,40,Returning,Business,1547,7,0,5,5,4,4,5,5,5,5,4,5,5,5,5,Satisfied,moderate distance,1,1,1,1,no,1,1,1,1
85683,Male,39,Returning,Business,1547,0,0,4,4,3,5,4,5,4,5,4,4,5,5,5,Satisfied,moderate distance,1,1,1,1,no,1,1,1,1
85685,Female,41,Returning,Business,1547,0,3,4,4,3,4,4,5,4,5,3,3,5,5,5,Satisfied,moderate distance,3,5,2,3,no,4,5,3,3
85687,Female,51,Returning,Business,1547,0,0,2,2,3,5,2,4,5,4,4,3,4,4,4,Satisfied,moderate distance,0,5,5,10,yes,5,5,5,0
85688,Female,54,First-time,Business,1547,0,0,2,2,4,1,1,5,3,3,5,5,4,5,5,Neutral or Dissatisfied,moderate distance,0,0,5,10,yes,0,0,5,0
85689,Female,25,First-time,Business,1547,0,0,5,4,3,4,4,3,5,4,5,5,5,5,4,Neutral or Dissatisfied,moderate distance,3,1,1,7,yes,3,3,3,1
85690,Female,46,Returning,Business,1547,0,0,4,4,3,4,4,5,4,5,5,3,5,5,5,Satisfied,moderate distance,1,0,1,1,no,1,4,3,1
85691,Male,34,Returning,Business,1547,1,0,2,1,5,5,2,4,4,4,3,4,4,4,4,Satisfied,moderate distance,0,2,1,2,no,1,1,1,0
85692,Female,59,Returning,Business,1547,0,0,4,4,4,4,4,3,4,3,5,2,3,3,3,Satisfied,moderate distance,5,4,4,8,yes,5,5,4,3
85693,Female,46,Returning,Business,1547,0,0,2,2,4,4,2,4,5,4,3,3,4,4,4,Satisfied,moderate distance,2,2,1,1,no,2,1,1,2
85695,Male,46,Returning,Business,1547,0,0,5,5,5,4,5,4,5,4,3,5,4,4,4,Satisfied,moderate distance,1,1,1,1,no,1,1,1,1
85696,Male,26,First-time,Business,1547,0,0,0,0,3,0,2,3,4,5,4,4,4,4,4,Satisfied,moderate distance,0,0,0,1,no,0,0,1,0
85697,Female,31,Returning,Business,1547,0,6,4,4,4,2,4,3,2,5,2,2,4,2,3,Neutral or Dissatisfied,moderate distance,0,0,0,1,no,0,0,1,0
85698,Female,31,Returning,Business,1547,5,0,1,1,2,2,1,3,2,3,2,2,3,2,2,Neutral or Dissatisfied,moderate distance,0,0,1,1,no,1,1,1,0
85699,Female,42,Returning,Economy,1147,0,0,5,5,4,5,5,4,3,4,2,2,4,4,4,Satisfied,moderate distance,3,2,4,4,no,3,4,2,3
85700,Male,37,Returning,Business,3425,8,0,3,3,1,2,3,4,5,4,2,1,4,4,4,Satisfied,long distance,5,5,4,10,yes,5,5,4,5
85701,Female,24,Returning,Business,1547,0,0,1,1,5,3,1,2,3,1,3,3,1,3,4,Satisfied,moderate distance,5,5,5,10,yes,5,5,5,5
85702,Female,37,First-time,Economy,1147,0,0,3,3,3,3,2,4,1,2,1,1,1,1,1,Neutral or Dissatisfied,moderate distance,4,3,1,3,no,4,4,3,4
85703,Female,61,Returning,Economy,1547,0,0,4,2,5,4,4,3,5,2,3,5,3,3,4,Neutral or Dissatisfied,moderate distance,5,5,5,10,yes,5,5,5,5
85704,Female,29,Returning,Economy,1547,1,0,3,3,4,3,2,1,4,4,4,4,3,4,2,Neutral or Dissatisfied,moderate distance,0,2,4,5,yes,2,1,5,0
85705,Male,39,Returning,Economy,1547,2,6,4,2,5,2,4,4,4,4,4,4,5,4,5,Neutral or Dissatisfied,moderate distance,0,0,1,1,no,1,1,1,0
85706,Female,51,Returning,Economy,1547,0,0,3,3,4,2,3,2,2,3,3,2,2,2,2,Neutral or Dissatisfied,moderate distance,0,0,1,1,no,1,1,1,0
