ID,Gender,Age,Customer Type,Cabin Type,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Entertainment,Baggage Handling,Satisfaction,Distance Group,EntertainmentRating,FoodRating,Recommended,ServiceRating,ValueRating
85580,Female,36,First-time,Business,259,0,0,2,2,4,2,1,3,5,2,5,5,5,5,5,Neutral or Dissatisfied,short distance,4,1,no,4,2
85581,Female,25,First-time,Business,259,0,2,0,2,3,2,5,3,3,5,3,3,4,3,5,Neutral or Dissatisfied,short distance,4,5,yes,5,5
85582,Male,44,Returning,Business,2280,9,9,5,5,4,4,5,5,4,5,4,5,5,5,4,Satisfied,long distance,0,5,yes,5,5
85584,Female,50,Returning,Business,2973,0,0,2,2,4,4,2,2,3,3,1,2,2,2,4,Neutral or Dissatisfied,long distance,0,1,no,2,1
85585,Female,24,Returning,Business,2740,3,0,4,4,4,4,4,3,4,1,4,4,3,4,4,Neutral or Dissatisfied,long distance,0,0,no,0,1
85586,Female,58,Returning,Business,153,0,0,1,1,3,5,1,5,5,5,4,3,5,5,5,Satisfied,short distance,0,4,yes,5,5
85587,Female,60,Returning,Business,3464,3,0,5,2,4,4,5,4,4,4,4,4,4,4,4,Satisfied,long distance,0,4,yes,5,3
85591,Male,42,Returning,Business,3525,0,0,0,0,5,1,1,4,4,5,4,2,4,4,5,Satisfied,long distance,2,2,no,3,1
85592,Female,25,First-time,Economy,153,0,0,0,2,1,2,1,2,3,4,3,3,4,3,5,Neutral or Dissatisfied,short distance,1,1,no,1,1
85593,Male,39,Returning,Business,1685,0,5,0,0,1,2,1,3,5,3,4,2,3,3,3,Satisfied,moderate distance,1,1,no,1,1
85594,Male,35,Returning,Business,2605,1,0,1,1,3,2,1,5,4,5,5,5,5,5,3,Satisfied,long distance,0,5,yes,5,4
85595,Female,26,First-time,Economy,192,0,0,1,3,4,3,2,2,3,4,3,3,2,3,2,Neutral or Dissatisfied,short distance,0,1,no,1,1
85597,Male,38,Returning,Business,153,0,0,1,1,1,4,1,1,3,1,2,2,1,1,2,Neutral or Dissatisfied,short distance,0,0,no,0,1
85599,Female,63,Returning,Economy,259,0,1,1,1,3,2,1,4,5,4,5,3,4,4,4,Satisfied,short distance,0,0,no,1,1
85600,Female,25,First-time,Economy,317,9,5,4,0,4,0,4,5,5,1,5,5,3,5,2,Satisfied,short distance,0,0,no,0,1
85601,Female,70,Returning,Business,192,5,4,2,2,3,3,2,3,4,3,3,3,3,3,2,Neutral or Dissatisfied,short distance,0,0,no,0,1
85602,Female,42,Returning,Business,3262,6,2,0,0,5,3,4,3,4,3,3,5,3,3,3,Satisfied,long distance,0,0,no,0,1
85603,Female,72,Returning,Business,2627,0,0,3,3,3,4,3,1,4,1,1,2,1,1,1,Neutral or Dissatisfied,long distance,4,5,yes,5,5
85604,Female,38,Returning,Business,192,0,0,3,3,3,2,3,1,2,1,1,3,1,1,3,Neutral or Dissatisfied,short distance,2,4,yes,5,4
85605,Female,65,Returning,Economy,153,0,0,4,0,3,4,1,4,4,0,5,2,4,4,4,Neutral or Dissatisfied,short distance,5,5,yes,5,5
85606,Male,31,Returning,Economy,153,0,0,5,1,3,1,1,3,3,4,3,3,4,3,5,Neutral or Dissatisfied,short distance,2,5,yes,5,4
85607,Male,31,Returning,Economy,192,8,4,5,0,3,0,5,4,4,2,4,4,5,4,5,Neutral or Dissatisfied,short distance,5,2,no,5,3
85609,Female,64,Returning,Economy,192,0,0,5,3,4,5,4,1,4,3,5,5,1,1,1,Neutral or Dissatisfied,short distance,1,1,no,1,2
85610,Female,10,Returning,Economy,259,0,0,2,0,4,0,3,4,5,4,5,5,3,5,4,Neutral or Dissatisfied,short distance,0,0,no,1,2
85612,Female,31,Returning,Economy,259,0,0,4,3,1,3,2,1,1,1,1,1,3,1,4,Neutral or Dissatisfied,short distance,0,0,no,1,1
85613,Male,65,Returning,Economy,259,0,0,4,1,3,1,3,3,2,2,2,2,4,2,3,Neutral or Dissatisfied,short distance,4,5,yes,3,5
85614,Male,32,Returning,Economy,259,7,0,0,3,5,3,4,3,4,3,4,4,4,4,4,Neutral or Dissatisfied,short distance,2,2,no,3,3
85615,Male,18,Returning,Economy,259,0,0,5,3,4,3,4,5,4,4,4,4,4,4,3,Neutral or Dissatisfied,short distance,5,4,no,5,1
85617,Female,68,Returning,Economy,259,0,0,4,0,5,5,4,2,5,0,1,3,2,2,2,Neutral or Dissatisfied,short distance,1,1,no,1,2
85619,Male,49,Returning,Economy,153,0,0,4,0,5,0,3,3,4,2,2,2,5,2,5,Neutral or Dissatisfied,short distance,0,5,yes,5,5
85620,Female,33,Returning,Economy,259,0,10,3,1,2,1,4,1,2,5,2,2,1,2,4,Neutral or Dissatisfied,short distance,1,3,no,4,2
85621,Male,57,Returning,Economy,259,2,8,4,1,5,1,4,2,3,1,3,3,3,3,4,Neutral or Dissatisfied,short distance,2,2,yes,2,2
85622,Male,7,Returning,Economy,317,0,2,5,4,3,4,2,2,5,5,5,5,5,5,1,Satisfied,short distance,1,0,yes,2,3
85623,Female,54,Returning,Economy,259,0,4,5,1,5,1,1,2,2,1,2,1,2,2,2,Neutral or Dissatisfied,short distance,0,1,no,1,2
85625,Female,39,Returning,Economy,259,0,8,3,0,2,0,4,2,1,5,3,3,3,3,4,Neutral or Dissatisfied,short distance,0,0,no,1,1
85626,Male,21,Returning,Economy,259,0,0,2,0,3,0,2,3,1,1,1,1,1,1,1,Neutral or Dissatisfied,short distance,0,0,no,1,1
85627,Female,31,Returning,Economy,259,3,4,3,3,2,3,2,1,1,3,1,1,2,1,4,Neutral or Dissatisfied,short distance,0,0,no,0,1
85628,Female,61,Returning,Economy,192,2,1,5,1,5,4,2,2,5,1,3,3,2,2,2,Neutral or Dissatisfied,short distance,1,1,no,4,3
85630,Male,41,Returning,Economy,259,0,2,3,1,3,1,3,1,5,1,5,5,1,5,4,Neutral or Dissatisfied,short distance,4,1,yes,5,4
85631,Female,44,Returning,Economy,192,0,0,4,2,4,4,5,1,5,2,4,2,1,1,1,Neutral or Dissatisfied,short distance,5,3,yes,5,4
85632,Female,18,Returning,Economy,153,0,0,4,4,5,4,3,4,1,2,4,4,1,4,5,Neutral or Dissatisfied,short distance,0,0,no,1,4
85634,Female,43,Returning,Economy,259,0,0,3,2,4,1,1,2,4,2,5,1,2,2,2,Neutral or Dissatisfied,short distance,0,2,yes,3,3
85635,Female,70,Returning,Economy,153,0,6,4,3,4,4,3,3,4,3,2,4,3,3,3,Neutral or Dissatisfied,short distance,0,1,no,1,3
85636,Female,56,Returning,Economy,317,7,5,4,5,2,3,3,4,3,5,4,4,4,4,4,Neutral or Dissatisfied,short distance,3,3,yes,4,4
85637,Male,11,Returning,Economy,153,0,0,3,3,1,3,1,5,5,4,5,5,3,5,5,Neutral or Dissatisfied,short distance,3,2,no,4,2
85638,Male,22,Returning,Economy,317,0,0,4,4,4,4,3,5,4,3,4,4,3,4,5,Neutral or Dissatisfied,short distance,5,5,yes,5,5
85639,Male,43,Returning,Economy,259,1,0,5,1,1,1,2,1,5,3,2,2,3,2,5,Neutral or Dissatisfied,short distance,5,4,no,4,3
85640,Male,33,Returning,Economy,259,0,0,3,0,1,0,4,2,4,2,4,4,5,4,1,Neutral or Dissatisfied,short distance,3,3,no,1,3
85642,Male,46,Returning,Business,259,0,0,0,0,4,4,4,4,5,4,5,2,4,4,4,Satisfied,short distance,1,1,no,1,1
85643,Female,24,Returning,Economy Plus,259,0,0,4,4,1,2,4,1,3,2,2,2,3,2,3,Neutral or Dissatisfied,short distance,0,0,no,1,2
85644,Female,45,Returning,Business,1833,0,0,3,3,4,4,3,5,5,5,3,5,5,5,5,Satisfied,long distance,0,0,no,1,1
85645,Female,55,Returning,Business,2804,0,0,5,5,3,4,5,5,4,5,4,4,5,5,4,Satisfied,long distance,1,1,no,2,2
85646,Male,44,Returning,Business,3100,0,0,4,1,5,4,5,2,5,2,5,5,2,2,2,Satisfied,long distance,0,0,no,0,2
85647,Female,35,Returning,Economy Plus,259,9,8,4,3,4,1,4,4,1,3,1,1,3,1,3,Neutral or Dissatisfied,short distance,1,3,no,1,1
85648,Female,26,Returning,Economy Plus,153,0,0,5,4,4,4,4,4,3,3,3,3,4,3,4,Satisfied,short distance,0,0,no,1,1
85649,Male,54,Returning,Economy Plus,192,0,0,2,0,1,0,4,4,5,4,5,5,4,5,3,Neutral or Dissatisfied,short distance,1,1,no,1,1
85655,Female,32,Returning,Economy Plus,259,0,0,5,2,5,2,5,5,1,5,3,3,1,3,1,Neutral or Dissatisfied,short distance,5,5,yes,5,5
85656,Male,44,Returning,Business,3064,0,0,2,2,5,5,2,4,4,4,5,3,4,4,4,Satisfied,long distance,0,0,no,3,1
85659,Female,18,Returning,Business,903,0,0,4,2,4,2,4,3,5,4,5,5,4,5,4,Neutral or Dissatisfied,moderate distance,0,5,yes,5,5
85660,Male,45,Returning,Business,2462,0,0,5,5,4,5,5,4,4,4,5,4,4,4,4,Satisfied,long distance,3,3,yes,4,5
85661,Female,60,Returning,Business,903,0,0,1,1,3,5,1,5,4,5,3,3,5,5,5,Satisfied,moderate distance,4,1,no,3,2
85663,Female,59,Returning,Business,1889,0,0,3,3,5,5,3,3,5,3,5,2,3,3,3,Satisfied,long distance,3,3,yes,4,5
85664,Male,27,Returning,Business,903,0,1,2,5,3,5,5,3,5,4,5,5,4,5,5,Satisfied,moderate distance,4,5,yes,5,5
85665,Male,45,Returning,Business,903,0,0,2,2,5,5,2,5,5,5,5,2,5,5,5,Satisfied,moderate distance,1,2,no,2,1
85666,Male,31,Returning,Business,3224,2,0,5,5,1,2,5,2,1,3,1,1,4,1,4,Neutral or Dissatisfied,long distance,1,1,no,1,1
85667,Male,25,First-time,Economy,903,1,0,2,2,1,2,2,4,3,5,3,3,3,3,2,Neutral or Dissatisfied,moderate distance,1,1,no,1,1
85668,Male,56,Returning,Business,3602,0,0,2,2,4,5,2,5,4,5,4,3,5,5,5,Satisfied,long distance,1,2,no,1,1
85669,Female,13,Returning,Business,2544,0,0,1,3,3,3,3,4,3,3,3,3,3,3,4,Neutral or Dissatisfied,long distance,0,0,no,1,1
85670,Female,18,First-time,Business,903,0,0,0,0,4,0,3,5,4,5,4,4,5,4,5,Satisfied,moderate distance,0,1,no,1,1
85672,Female,23,Returning,Economy,903,2,0,4,3,1,3,3,5,1,5,1,1,5,1,3,Neutral or Dissatisfied,moderate distance,1,1,no,1,1
85673,Female,23,Returning,Economy,903,0,0,2,3,2,3,3,3,1,3,3,3,4,3,3,Neutral or Dissatisfied,moderate distance,0,0,no,0,1
85675,Male,41,Returning,Economy,903,0,0,5,2,4,2,2,4,2,4,2,2,4,2,4,Neutral or Dissatisfied,moderate distance,0,1,yes,4,3
85678,Female,37,Returning,Economy Plus,503,0,0,1,1,4,4,1,1,4,2,4,4,1,4,3,Satisfied,short distance,3,4,no,3,3
85679,Male,56,Returning,Business,1547,0,0,4,4,3,4,4,4,5,4,5,2,4,4,4,Satisfied,moderate distance,0,0,no,2,1
85682,Male,40,Returning,Business,1547,7,0,5,5,4,4,5,5,5,5,4,5,5,5,5,Satisfied,moderate distance,1,1,no,1,1
85683,Male,39,Returning,Business,1547,0,0,4,4,3,5,4,5,4,5,4,4,5,5,5,Satisfied,moderate distance,1,1,no,1,1
85685,Female,41,Returning,Business,1547,0,3,4,4,3,4,4,5,4,5,3,3,5,5,5,Satisfied,moderate distance,3,5,no,5,3
85687,Female,51,Returning,Business,1547,0,0,2,2,3,5,2,4,5,4,4,3,4,4,4,Satisfied,moderate distance,0,5,yes,5,5
85688,Female,54,First-time,Business,1547,0,0,2,2,4,1,1,5,3,3,5,5,4,5,5,Neutral or Dissatisfied,moderate distance,0,0,yes,0,5
85689,Female,25,First-time,Business,1547,0,0,5,4,3,4,4,3,5,4,5,5,5,5,4,Neutral or Dissatisfied,moderate distance,3,1,yes,3,3
85690,Female,46,Returning,Business,1547,0,0,4,4,3,4,4,5,4,5,5,3,5,5,5,Satisfied,moderate distance,1,0,no,4,3
85691,Male,34,Returning,Business,1547,1,0,2,1,5,5,2,4,4,4,3,4,4,4,4,Satisfied,moderate distance,0,2,no,1,1
85692,Female,59,Returning,Business,1547,0,0,4,4,4,4,4,3,4,3,5,2,3,3,3,Satisfied,moderate distance,5,4,yes,5,4
85693,Female,46,Returning,Business,1547,0,0,2,2,4,4,2,4,5,4,3,3,4,4,4,Satisfied,moderate distance,2,2,no,1,1
85695,Male,46,Returning,Business,1547,0,0,5,5,5,4,5,4,5,4,3,5,4,4,4,Satisfied,moderate distance,1,1,no,1,1
85696,Male,26,First-time,Business,1547,0,0,0,0,3,0,2,3,4,5,4,4,4,4,4,Satisfied,moderate distance,0,0,no,0,1
85697,Female,31,Returning,Business,1547,0,6,4,4,4,2,4,3,2,5,2,2,4,2,3,Neutral or Dissatisfied,moderate distance,0,0,no,0,1
85698,Female,31,Returning,Business,1547,5,0,1,1,2,2,1,3,2,3,2,2,3,2,2,Neutral or Dissatisfied,moderate distance,0,0,no,1,1
85699,Female,42,Returning,Economy,1147,0,0,5,5,4,5,5,4,3,4,2,2,4,4,4,Satisfied,moderate distance,3,2,no,4,2
85700,Male,37,Returning,Business,3425,8,0,3,3,1,2,3,4,5,4,2,1,4,4,4,Satisfied,long distance,5,5,yes,5,4
85701,Female,24,Returning,Business,1547,0,0,1,1,5,3,1,2,3,1,3,3,1,3,4,Satisfied,moderate distance,5,5,yes,5,5
85702,Female,37,First-time,Economy,1147,0,0,3,3,3,3,2,4,1,2,1,1,1,1,1,Neutral or Dissatisfied,moderate distance,4,3,no,4,3
85703,Female,61,Returning,Economy,1547,0,0,4,2,5,4,4,3,5,2,3,5,3,3,4,Neutral or Dissatisfied,moderate distance,5,5,yes,5,5
85704,Female,29,Returning,Economy,1547,1,0,3,3,4,3,2,1,4,4,4,4,3,4,2,Neutral or Dissatisfied,moderate distance,0,2,yes,1,5
85705,Male,39,Returning,Economy,1547,2,6,4,2,5,2,4,4,4,4,4,4,5,4,5,Neutral or Dissatisfied,moderate distance,0,0,no,1,1
85706,Female,51,Returning,Economy,1547,0,0,3,3,4,2,3,2,2,3,3,2,2,2,2,Neutral or Dissatisfied,moderate distance,0,0,no,1,1
85707,Female,42,Returning,Economy,1547,0,0,5,4,3,5,3,1,5,4,3,4,1,1,1,Satisfied,moderate distance,0,0,no,4,2
85708,Female,48,Returning,Economy,1547,0,0,2,1,4,4,4,4,4,1,1,3,4,4,3,Neutral or Dissatisfied,moderate distance,1,1,no,1,1
85709,Female,44,Returning,Economy,1547,0,0,4,2,3,5,5,2,4,2,5,2,2,2,2,Neutral or Dissatisfied,moderate distance,3,3,yes,4,3
85711,Female,38,Returning,Business,1547,5,0,4,4,5,5,4,4,5,4,4,4,4,4,4,Satisfied,moderate distance,2,1,no,1,1
85713,Male,40,Returning,Business,1547,1,0,1,1,4,5,1,2,5,3,4,2,2,2,2,Satisfied,moderate distance,1,1,no,1,1
85714,Female,39,Returning,Business,1547,0,0,4,4,3,4,4,5,4,5,5,2,5,5,5,Satisfied,moderate distance,1,1,no,1,1
85716,Female,47,Returning,Business,2407,0,0,3,3,5,4,3,4,5,4,4,3,4,4,4,Satisfied,long distance,0,0,no,1,1
85717,Male,48,Returning,Business,1895,0,0,5,5,5,4,5,5,4,5,3,3,5,5,5,Satisfied,long distance,0,0,no,1,1
85719,Male,24,First-time,Business,620,0,0,4,5,5,5,1,4,1,4,4,4,5,4,5,Satisfied,short distance,1,1,no,1,1
85721,Female,36,Returning,Business,666,0,0,3,3,3,5,3,4,4,4,3,3,4,4,4,Satisfied,short distance,3,3,no,3,1
85722,Male,56,Returning,Business,3959,0,0,2,2,4,5,2,4,4,4,4,2,4,4,4,Satisfied,long distance,0,1,no,1,2
85723,Male,56,Returning,Business,3540,0,0,3,2,5,4,3,5,4,5,3,5,5,5,5,Satisfied,long distance,5,5,yes,5,5
85724,Male,49,First-time,Business,666,0,0,1,1,5,1,4,4,2,2,3,3,4,3,5,Neutral or Dissatisfied,short distance,4,3,yes,5,3
85726,Female,56,Returning,Business,3867,0,0,4,4,4,3,4,1,4,1,4,4,1,1,4,Neutral or Dissatisfied,long distance,0,0,no,1,1
85727,Female,16,Returning,Business,666,0,0,5,1,5,1,4,4,1,3,1,1,4,1,5,Neutral or Dissatisfied,short distance,0,5,yes,5,5
85728,Male,37,First-time,Business,666,0,0,3,3,5,3,4,4,4,4,3,3,5,3,4,Neutral or Dissatisfied,short distance,1,1,no,2,1
85729,Female,48,Returning,Business,3456,0,0,2,2,3,4,2,4,4,4,3,2,4,4,4,Satisfied,long distance,2,4,yes,3,3
85730,Male,26,Returning,Business,666,0,0,5,1,5,4,5,3,4,2,4,4,4,4,4,Satisfied,short distance,1,3,no,3,3
85731,Female,52,Returning,Business,2032,0,8,4,2,5,4,4,4,5,4,3,5,4,4,4,Satisfied,long distance,0,0,no,4,1
85733,Female,24,First-time,Economy,666,4,0,0,1,4,1,3,3,5,4,5,5,5,5,5,Neutral or Dissatisfied,short distance,2,2,no,4,1
