Age,Flight Distance,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Satisfaction
44.0,3340.0,0.0,0.0,0.0,5.0,4.0,3.0,5.0,4.0,Satisfied
52.0,3286.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,Neutral or Dissatisfied
30.0,3560.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0,Satisfied
55.0,2520.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,Satisfied
36.0,3114.0,0.0,1.0,1.0,4.0,5.0,1.0,3.0,4.0,Satisfied
48.0,259.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,4.0,Satisfied
19.0,259.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,Neutral or Dissatisfied
21.0,192.0,0.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,Satisfied
30.0,2927.0,8.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,Neutral or Dissatisfied
47.0,259.0,0.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,Neutral or Dissatisfied
80.0,3464.0,0.0,1.0,1.0,5.0,4.0,1.0,4.0,4.0,Satisfied
68.0,259.0,6.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,Neutral or Dissatisfied
36.0,259.0,0.0,2.0,2.0,4.0,2.0,1.0,3.0,5.0,Neutral or Dissatisfied
25.0,259.0,2.0,0.0,2.0,3.0,2.0,5.0,3.0,3.0,Neutral or Dissatisfied
44.0,2280.0,9.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,Satisfied
50.0,2973.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,Neutral or Dissatisfied
24.0,2740.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,Neutral or Dissatisfied
58.0,153.0,0.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,Satisfied
60.0,3464.0,0.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,Satisfied
42.0,3525.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,4.0,Satisfied
25.0,153.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,Neutral or Dissatisfied
39.0,1685.0,5.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,Satisfied
35.0,2605.0,0.0,1.0,1.0,3.0,2.0,1.0,5.0,4.0,Satisfied
26.0,192.0,0.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,Neutral or Dissatisfied
38.0,153.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,Neutral or Dissatisfied
63.0,259.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,5.0,Satisfied
25.0,317.0,5.0,4.0,0.0,4.0,0.0,4.0,5.0,5.0,Satisfied
70.0,192.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,Neutral or Dissatisfied
42.0,3262.0,2.0,0.0,0.0,5.0,3.0,4.0,3.0,4.0,Satisfied
72.0,2627.0,0.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,Neutral or Dissatisfied
38.0,192.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,Neutral or Dissatisfied
65.0,153.0,0.0,4.0,0.0,3.0,4.0,1.0,4.0,4.0,Neutral or Dissatisfied
31.0,153.0,0.0,5.0,1.0,3.0,1.0,1.0,3.0,3.0,Neutral or Dissatisfied
31.0,192.0,4.0,5.0,0.0,3.0,0.0,5.0,4.0,4.0,Neutral or Dissatisfied
64.0,192.0,0.0,5.0,3.0,4.0,5.0,4.0,1.0,4.0,Neutral or Dissatisfied
10.0,259.0,0.0,2.0,0.0,4.0,0.0,3.0,4.0,5.0,Neutral or Dissatisfied
31.0,259.0,0.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,Neutral or Dissatisfied
65.0,259.0,0.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,Neutral or Dissatisfied
32.0,259.0,0.0,0.0,3.0,5.0,3.0,4.0,3.0,4.0,Neutral or Dissatisfied
18.0,259.0,0.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,Neutral or Dissatisfied
68.0,259.0,0.0,4.0,0.0,5.0,5.0,4.0,2.0,5.0,Neutral or Dissatisfied
49.0,153.0,0.0,4.0,0.0,5.0,0.0,3.0,3.0,4.0,Neutral or Dissatisfied
33.0,259.0,10.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,Neutral or Dissatisfied
57.0,259.0,8.0,4.0,1.0,5.0,1.0,4.0,2.0,3.0,Neutral or Dissatisfied
7.0,317.0,2.0,5.0,4.0,3.0,4.0,2.0,2.0,5.0,Satisfied
54.0,259.0,4.0,5.0,1.0,5.0,1.0,1.0,2.0,2.0,Neutral or Dissatisfied
39.0,259.0,8.0,3.0,0.0,2.0,0.0,4.0,2.0,1.0,Neutral or Dissatisfied
21.0,259.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,1.0,Neutral or Dissatisfied
31.0,259.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,Neutral or Dissatisfied
61.0,192.0,1.0,5.0,1.0,5.0,4.0,2.0,2.0,5.0,Neutral or Dissatisfied
41.0,259.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,5.0,Neutral or Dissatisfied
44.0,192.0,0.0,4.0,2.0,4.0,4.0,5.0,1.0,5.0,Neutral or Dissatisfied
18.0,153.0,0.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,Neutral or Dissatisfied
43.0,259.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,Neutral or Dissatisfied
70.0,153.0,6.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,Neutral or Dissatisfied
56.0,317.0,5.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,Neutral or Dissatisfied
11.0,153.0,0.0,3.0,3.0,1.0,3.0,1.0,5.0,5.0,Neutral or Dissatisfied
22.0,317.0,0.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,Neutral or Dissatisfied
43.0,259.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,Neutral or Dissatisfied
33.0,259.0,0.0,3.0,0.0,1.0,0.0,4.0,2.0,4.0,Neutral or Dissatisfied
46.0,259.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,Satisfied
24.0,259.0,0.0,4.0,4.0,1.0,2.0,4.0,1.0,3.0,Neutral or Dissatisfied
45.0,1833.0,0.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,Satisfied
55.0,2804.0,0.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,Satisfied
44.0,3100.0,0.0,4.0,1.0,5.0,4.0,5.0,2.0,5.0,Satisfied
35.0,259.0,8.0,4.0,3.0,4.0,1.0,4.0,4.0,1.0,Neutral or Dissatisfied
26.0,153.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,Satisfied
54.0,192.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,5.0,Neutral or Dissatisfied
32.0,259.0,0.0,5.0,2.0,5.0,2.0,5.0,5.0,1.0,Neutral or Dissatisfied
44.0,3064.0,0.0,2.0,2.0,5.0,5.0,2.0,4.0,4.0,Satisfied
18.0,903.0,0.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,Neutral or Dissatisfied
45.0,2462.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,Satisfied
60.0,903.0,0.0,1.0,1.0,3.0,5.0,1.0,5.0,4.0,Satisfied
59.0,1889.0,0.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,Satisfied
27.0,903.0,1.0,2.0,5.0,3.0,5.0,5.0,3.0,5.0,Satisfied
45.0,903.0,0.0,2.0,2.0,5.0,5.0,2.0,5.0,5.0,Satisfied
31.0,3224.0,0.0,5.0,5.0,1.0,2.0,5.0,2.0,1.0,Neutral or Dissatisfied
25.0,903.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,Neutral or Dissatisfied
56.0,3602.0,0.0,2.0,2.0,4.0,5.0,2.0,5.0,4.0,Satisfied
13.0,2544.0,0.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,Neutral or Dissatisfied
18.0,903.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,4.0,Satisfied
23.0,903.0,0.0,4.0,3.0,1.0,3.0,3.0,5.0,1.0,Neutral or Dissatisfied
23.0,903.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,Neutral or Dissatisfied
41.0,903.0,0.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,Neutral or Dissatisfied
37.0,503.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,Satisfied
56.0,1547.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,Satisfied
40.0,1547.0,0.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,Satisfied
39.0,1547.0,0.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,Satisfied
41.0,1547.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,Satisfied
51.0,1547.0,0.0,2.0,2.0,3.0,5.0,2.0,4.0,5.0,Satisfied
54.0,1547.0,0.0,2.0,2.0,4.0,1.0,1.0,5.0,3.0,Neutral or Dissatisfied
25.0,1547.0,0.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,Neutral or Dissatisfied
46.0,1547.0,0.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,Satisfied
34.0,1547.0,0.0,2.0,1.0,5.0,5.0,2.0,4.0,4.0,Satisfied
59.0,1547.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,Satisfied
46.0,1547.0,0.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,Satisfied
46.0,1547.0,0.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,Satisfied
26.0,1547.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,4.0,Satisfied
31.0,1547.0,6.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,Neutral or Dissatisfied
31.0,1547.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,Neutral or Dissatisfied
42.0,1147.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,Satisfied
37.0,3425.0,0.0,3.0,3.0,1.0,2.0,3.0,4.0,5.0,Satisfied
24.0,1547.0,0.0,1.0,1.0,5.0,3.0,1.0,2.0,3.0,Satisfied
37.0,1147.0,0.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,Neutral or Dissatisfied
61.0,1547.0,0.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,Neutral or Dissatisfied
29.0,1547.0,0.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,Neutral or Dissatisfied
39.0,1547.0,6.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,Neutral or Dissatisfied
51.0,1547.0,0.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,Neutral or Dissatisfied
42.0,1547.0,0.0,5.0,4.0,3.0,5.0,3.0,1.0,5.0,Satisfied
48.0,1547.0,0.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,Neutral or Dissatisfied
44.0,1547.0,0.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0,Neutral or Dissatisfied
38.0,1547.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,Satisfied
40.0,1547.0,0.0,1.0,1.0,4.0,5.0,1.0,2.0,5.0,Satisfied
39.0,1547.0,0.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,Satisfied
47.0,2407.0,0.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,Satisfied
48.0,1895.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Satisfied
24.0,620.0,0.0,4.0,5.0,5.0,5.0,1.0,4.0,1.0,Satisfied
36.0,666.0,0.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,Satisfied
56.0,3959.0,0.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,Satisfied
56.0,3540.0,0.0,3.0,2.0,5.0,4.0,3.0,5.0,4.0,Satisfied
49.0,666.0,0.0,1.0,1.0,5.0,1.0,4.0,4.0,2.0,Neutral or Dissatisfied
56.0,3867.0,0.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,Neutral or Dissatisfied
16.0,666.0,0.0,5.0,1.0,5.0,1.0,4.0,4.0,1.0,Neutral or Dissatisfied
37.0,666.0,0.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,Neutral or Dissatisfied
48.0,3456.0,0.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,Satisfied
26.0,666.0,0.0,5.0,1.0,5.0,4.0,5.0,3.0,4.0,Satisfied
52.0,2032.0,8.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,Satisfied
24.0,666.0,0.0,0.0,1.0,4.0,1.0,3.0,3.0,5.0,Neutral or Dissatisfied
59.0,2531.0,0.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,Satisfied
59.0,526.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,Satisfied
39.0,3874.0,0.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,Satisfied
46.0,666.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,Satisfied
54.0,666.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,Satisfied
45.0,1999.0,0.0,2.0,2.0,3.0,5.0,2.0,3.0,4.0,Satisfied
28.0,3010.0,0.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,Satisfied
48.0,666.0,0.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,Neutral or Dissatisfied
39.0,526.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Satisfied
56.0,666.0,0.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,Satisfied
42.0,666.0,0.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,Satisfied
44.0,1944.0,0.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,Satisfied
22.0,526.0,0.0,4.0,1.0,3.0,1.0,2.0,4.0,4.0,Neutral or Dissatisfied
43.0,666.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,Satisfied
23.0,526.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Satisfied
54.0,666.0,0.0,1.0,2.0,3.0,4.0,2.0,5.0,4.0,Satisfied
26.0,526.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,2.0,Satisfied
54.0,2563.0,0.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,Satisfied
56.0,3534.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,Satisfied
47.0,666.0,0.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,Satisfied
42.0,666.0,0.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,Satisfied
47.0,666.0,0.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,Satisfied
20.0,526.0,0.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,Satisfied
58.0,666.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,Satisfied
55.0,2766.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Satisfied
11.0,666.0,9.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,Neutral or Dissatisfied
30.0,1802.0,0.0,1.0,1.0,5.0,4.0,1.0,5.0,4.0,Satisfied
14.0,526.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,5.0,Satisfied
45.0,2689.0,0.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,Satisfied
53.0,2697.0,0.0,2.0,2.0,3.0,5.0,2.0,2.0,4.0,Satisfied
39.0,620.0,0.0,1.0,1.0,3.0,4.0,1.0,5.0,5.0,Satisfied
51.0,2300.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,Satisfied
51.0,1780.0,0.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,Satisfied
24.0,666.0,0.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,Satisfied
42.0,666.0,0.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,Satisfied
58.0,2196.0,0.0,3.0,3.0,4.0,5.0,3.0,2.0,4.0,Satisfied
60.0,666.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,Satisfied
53.0,3955.0,0.0,2.0,5.0,5.0,4.0,2.0,4.0,5.0,Satisfied
72.0,526.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,Neutral or Dissatisfied
72.0,1778.0,0.0,1.0,4.0,5.0,5.0,1.0,2.0,5.0,Satisfied
22.0,666.0,0.0,0.0,3.0,5.0,3.0,5.0,4.0,2.0,Neutral or Dissatisfied
51.0,3806.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,Neutral or Dissatisfied
59.0,526.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,Neutral or Dissatisfied
50.0,126.0,0.0,4.0,0.0,5.0,3.0,2.0,4.0,3.0,Satisfied
46.0,1792.0,0.0,4.0,4.0,2.0,3.0,4.0,5.0,1.0,Satisfied
24.0,126.0,1.0,3.0,5.0,4.0,5.0,1.0,4.0,2.0,Satisfied
24.0,126.0,0.0,3.0,2.0,5.0,2.0,1.0,2.0,2.0,Neutral or Dissatisfied
45.0,266.0,0.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,Neutral or Dissatisfied
46.0,266.0,0.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,Neutral or Dissatisfied
43.0,266.0,0.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,Satisfied
47.0,266.0,0.0,0.0,3.0,3.0,3.0,4.0,1.0,4.0,Neutral or Dissatisfied
27.0,666.0,0.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,Neutral or Dissatisfied
39.0,666.0,0.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,Neutral or Dissatisfied
7.0,620.0,0.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,Neutral or Dissatisfied
55.0,666.0,2.0,4.0,5.0,3.0,4.0,1.0,4.0,4.0,Satisfied
27.0,666.0,5.0,0.0,2.0,5.0,2.0,1.0,3.0,3.0,Neutral or Dissatisfied
49.0,666.0,0.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,Neutral or Dissatisfied
26.0,666.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,Neutral or Dissatisfied
18.0,666.0,0.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,Neutral or Dissatisfied
21.0,666.0,0.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,Neutral or Dissatisfied
36.0,526.0,0.0,4.0,4.0,5.0,4.0,3.0,5.0,2.0,Neutral or Dissatisfied
46.0,526.0,0.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,Neutral or Dissatisfied
10.0,666.0,0.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,Neutral or Dissatisfied
64.0,666.0,0.0,5.0,1.0,4.0,5.0,4.0,2.0,2.0,Neutral or Dissatisfied
33.0,526.0,0.0,4.0,1.0,3.0,1.0,4.0,3.0,3.0,Neutral or Dissatisfied
33.0,666.0,0.0,4.0,1.0,1.0,1.0,5.0,4.0,3.0,Neutral or Dissatisfied
20.0,526.0,0.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,Neutral or Dissatisfied
47.0,526.0,0.0,5.0,2.0,5.0,2.0,3.0,3.0,5.0,Neutral or Dissatisfied
26.0,526.0,0.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,Neutral or Dissatisfied
31.0,666.0,0.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,Neutral or Dissatisfied
10.0,526.0,0.0,4.0,3.0,5.0,3.0,4.0,5.0,1.0,Neutral or Dissatisfied
8.0,666.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,Neutral or Dissatisfied
33.0,526.0,0.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,Neutral or Dissatisfied
59.0,666.0,4.0,5.0,2.0,5.0,2.0,3.0,4.0,2.0,Neutral or Dissatisfied
37.0,666.0,0.0,1.0,4.0,1.0,4.0,2.0,4.0,5.0,Neutral or Dissatisfied
39.0,666.0,0.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,Satisfied
35.0,666.0,0.0,4.0,5.0,1.0,5.0,3.0,1.0,1.0,Satisfied
43.0,666.0,0.0,5.0,2.0,2.0,2.0,1.0,4.0,2.0,Neutral or Dissatisfied
47.0,526.0,0.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,Satisfied
21.0,666.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,5.0,Neutral or Dissatisfied
51.0,666.0,0.0,5.0,5.0,3.0,4.0,5.0,1.0,4.0,Neutral or Dissatisfied
30.0,666.0,0.0,3.0,3.0,2.0,3.0,1.0,4.0,5.0,Neutral or Dissatisfied
22.0,526.0,0.0,5.0,2.0,3.0,2.0,3.0,5.0,4.0,Neutral or Dissatisfied
29.0,666.0,0.0,5.0,1.0,4.0,1.0,5.0,3.0,1.0,Neutral or Dissatisfied
22.0,526.0,0.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,Neutral or Dissatisfied
50.0,2136.0,0.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,Satisfied
52.0,2172.0,0.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,Satisfied
23.0,920.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,Satisfied
58.0,672.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,Satisfied
