EntertainmentRating,FoodRating,GroundServiceRating,OverallScore,Recommended,SeatComfortRating,ServiceRating,ValueRating,WifiRating,ID
1,3,0,8,yes,4,4,4,0,53
2,1,0,4,no,4,2,2,0,54
3,3,0,9,yes,4,4,4,0,55
0,1,0,5,yes,4,4,3,0,56
3,4,0,9,yes,5,5,4,0,57
1,4,0,8,yes,4,3,4,0,58
4,4,0,10,yes,5,5,4,0,59
4,4,0,9,yes,4,4,4,0,60
3,3,0,7,yes,4,5,5,0,61
0,4,0,8,yes,4,4,4,0,62
1,4,0,7,yes,3,3,4,0,63
0,4,0,7,yes,2,5,4,0,64
0,1,0,5,yes,4,4,4,0,65
0,4,0,9,yes,4,5,2,0,66
0,0,0,5,yes,0,0,4,0,67
0,0,0,5,yes,0,0,4,0,68
0,0,0,8,yes,0,0,1,0,69
0,0,0,9,yes,0,0,4,0,70
0,0,0,5,no,0,0,1,0,71
0,0,0,9,yes,0,0,4,0,72
0,0,0,9,yes,0,0,4,0,73
0,0,0,10,yes,0,0,4,0,74
0,0,0,7,yes,0,0,1,0,75
0,0,0,5,no,0,0,1,0,76
0,0,0,5,no,0,0,1,0,77
0,0,0,6,yes,0,0,1,0,78
0,0,0,7,yes,0,0,4,0,79
0,0,0,5,yes,0,0,4,0,80
0,0,0,3,no,0,0,0,0,81
0,0,0,4,no,0,0,0,0,82
0,0,0,4,no,0,0,0,0,83
0,0,0,4,no,0,0,0,0,84
0,0,0,,no,0,0,0,0,85
0,0,0,,no,0,0,0,0,86
0,0,0,,no,0,0,0,0,87
0,0,0,,no,0,0,0,0,88
0,0,0,,no,0,0,0,0,89
1,3,1,1,no,1,1,1,1,90
0,1,1,2,no,2,1,1,0,91
0,3,3,1,no,3,3,3,0,92
0,0,0,,no,0,0,0,0,93
0,0,0,,no,0,0,0,0,94
0,0,0,,no,0,0,0,0,95
0,0,0,,no,0,0,0,0,96
0,0,0,,no,0,0,0,0,97
0,0,0,,no,0,0,0,0,98
0,0,0,,no,0,0,0,0,99
1,1,1,1,no,1,1,1,1,100
0,0,1,1,no,0,0,1,0,101
1,1,1,1,no,1,1,1,1,102
0,2,1,1,no,3,3,1,0,103
0,4,4,8,no,5,5,1,0,104
0,0,0,,no,0,0,0,0,105
0,0,0,,no,0,0,0,0,106
0,0,0,,no,0,0,0,0,107
0,0,0,,no,0,0,0,0,108
0,0,0,,no,0,0,0,0,109
0,4,4,7,yes,4,4,4,0,110
3,4,0,8,yes,4,4,4,0,111
1,3,0,7,yes,1,5,3,0,112
1,1,0,1,no,1,1,1,0,113
0,0,0,4,no,0,0,1,0,114
0,0,0,,no,0,0,1,0,115
0,0,0,1,no,0,0,0,0,116
0,0,0,6,no,0,0,0,0,117
0,0,0,,no,0,0,0,0,118
0,0,0,,no,0,0,0,0,119
0,0,0,,no,0,0,0,0,120
0,0,0,,no,0,0,0,0,121
1,1,1,1,no,1,1,1,0,122
0,0,1,2,no,2,4,2,0,123
1,1,1,1,no,1,1,1,1,124
0,1,1,1,no,1,1,1,0,125
0,0,1,1,no,1,1,1,0,126
2,4,3,1,no,3,5,1,0,127
0,2,1,1,no,1,3,1,0,128
0,5,1,6,yes,4,4,3,0,129
0,5,3,10,yes,4,5,5,0,130
0,0,0,,no,0,0,1,0,131
0,0,0,6,yes,0,0,4,0,132
0,0,0,3,no,0,0,1,0,133
0,0,0,7,yes,0,0,4,0,134
0,0,0,7,yes,0,0,4,0,135
0,0,0,8,yes,0,0,4,0,136
0,0,0,1,no,0,0,1,0,137
0,0,0,8,yes,0,0,4,0,138
0,0,0,8,yes,0,0,4,0,139
0,0,0,8,yes,0,0,4,0,140
0,0,0,,no,0,0,1,0,141
0,0,0,8,yes,0,0,4,0,142
0,0,0,2,no,0,0,1,0,143
0,0,0,9,yes,0,0,4,0,144
0,0,0,9,yes,0,0,4,0,145
0,0,0,5,yes,0,0,4,0,146
0,0,0,8,yes,0,0,4,0,147
0,0,0,4,no,0,0,0,0,148
0,0,0,3,no,0,0,0,0,149
0,0,0,3,no,0,0,0,0,150
0,0,0,4,no,0,0,0,0,151
0,0,0,3,no,0,0,0,0,152
0,0,0,3,no,0,0,0,0,153
0,0,0,3,no,0,0,0,0,154
0,0,0,2,no,0,0,0,0,155
0,0,0,3,no,0,0,0,0,156
0,0,0,4,no,0,0,0,0,157
0,0,0,2,no,0,0,0,0,158
0,0,0,1,no,0,0,0,0,159
0,0,1,1,no,1,1,1,0,160
0,0,1,1,no,1,1,1,0,161
0,0,1,1,no,0,0,1,0,162
3,3,1,1,no,1,2,1,0,163
0,0,5,8,yes,4,2,5,0,164
0,0,0,1,no,0,0,1,0,165
0,0,3,2,no,4,4,1,0,166
0,0,1,1,no,2,1,1,0,167
0,0,0,7,yes,4,3,4,0,168
0,0,0,9,yes,4,5,4,0,169
0,0,0,9,yes,0,0,4,0,170
0,0,0,1,no,0,0,0,0,171
0,0,0,4,no,0,0,0,0,172
0,0,0,,no,0,0,0,0,173
0,1,3,6,no,3,1,4,0,174
0,0,0,1,no,0,0,1,0,175
2,1,1,1,no,1,1,1,1,176
0,0,0,1,no,0,0,1,0,177
1,1,1,2,no,1,1,1,1,178
0,3,5,8,yes,4,5,5,0,179
0,3,1,1,no,3,4,1,0,180
0,3,4,7,yes,3,3,4,0,181
3,1,1,1,no,2,1,1,1,182
0,0,0,1,no,0,0,1,0,183
0,4,1,1,no,4,4,3,0,184
0,0,1,1,no,1,1,1,0,185
0,0,0,1,no,0,0,1,0,186
0,0,0,1,no,0,0,1,0,187
1,1,1,1,no,1,1,1,1,188
0,0,1,1,no,0,0,1,0,189
0,4,5,10,yes,5,5,5,0,190
0,1,1,1,no,2,1,1,0,191
0,0,0,1,no,0,0,1,0,192
1,2,1,1,no,1,5,1,4,193
4,3,5,7,yes,5,5,2,4,194
0,0,4,8,yes,4,5,5,0,195
1,1,1,2,no,2,1,1,0,196
0,1,1,1,no,1,1,1,0,197
3,2,3,6,yes,4,4,3,3,198
0,3,1,4,no,1,2,3,0,199
1,1,1,1,no,1,1,1,1,200
0,1,1,1,no,1,3,1,0,201
0,0,1,1,no,4,3,1,0,202
0,0,1,1,no,3,0,1,0,203
0,4,4,8,yes,3,4,3,0,204
2,2,4,7,yes,4,3,3,0,205
1,1,1,1,no,1,1,1,0,206
1,1,1,1,no,1,1,1,1,207
2,2,1,1,no,2,1,1,1,208
4,4,5,9,yes,5,4,4,4,209
5,5,5,9,yes,3,5,5,0,210
3,3,4,9,yes,4,4,4,0,211
1,2,4,8,yes,4,4,4,1,212
1,2,4,8,yes,4,4,4,1,213
2,2,3,3,no,1,1,2,0,214
1,1,1,1,no,2,3,1,1,215
0,1,2,2,no,1,1,1,0,216
5,1,3,7,yes,4,4,5,5,217
0,4,3,9,yes,4,4,5,0,218
1,5,1,1,no,1,3,1,0,219
4,3,4,6,yes,3,4,4,0,220
1,1,1,1,no,1,1,1,0,221
0,4,3,9,yes,4,4,4,0,222
1,2,4,8,yes,5,5,3,0,223
1,1,1,1,no,1,1,1,1,224
0,2,1,3,no,3,2,3,0,225
0,2,4,6,yes,4,4,3,0,226
5,1,5,4,no,1,1,2,0,227
1,1,1,1,no,1,2,1,1,228
2,2,1,1,no,1,1,4,0,229
3,2,3,3,no,1,2,1,0,230
0,1,1,2,no,3,4,2,0,231
0,1,3,4,no,3,1,4,0,232
3,3,4,7,yes,3,4,4,0,233
4,5,4,9,yes,4,3,3,0,234
1,1,1,2,no,2,1,2,1,235
0,2,1,1,no,3,3,1,0,236
4,5,5,9,yes,5,5,5,3,237
0,1,1,1,no,1,1,3,0,238
0,0,1,1,no,1,1,1,0,239
1,1,1,1,no,1,1,1,1,240
0,0,5,10,yes,5,5,5,0,241
3,3,2,7,yes,3,4,4,0,242
0,4,2,5,no,3,5,3,0,243
1,5,5,9,yes,5,5,5,0,244
3,4,5,9,yes,4,5,4,0,245
1,1,3,3,no,2,3,1,1,246
0,3,1,1,no,2,3,1,0,247
0,5,4,10,yes,5,5,5,0,248
0,5,4,10,yes,5,5,5,0,249
1,1,1,1,no,1,1,1,1,250
0,2,2,3,no,2,1,2,0,251
0,5,5,9,yes,4,5,4,0,252
3,3,2,7,yes,4,5,4,0,253
0,0,1,1,no,1,1,1,0,254
5,2,5,5,yes,1,5,3,0,255
1,1,2,2,no,3,3,2,0,256
0,1,1,1,no,1,2,1,0,257
0,3,1,2,no,1,2,2,0,258
0,2,1,3,no,1,3,2,0,259
4,4,0,7,yes,4,4,4,0,260
0,3,0,9,yes,4,5,4,0,261
1,3,0,3,no,1,2,2,0,262
3,4,0,5,yes,5,5,5,0,263
4,5,0,10,yes,5,5,5,0,264
3,2,0,1,no,1,1,2,0,265
0,5,4,8,yes,4,5,4,0,266
0,0,0,4,yes,0,0,0,0,267
0,0,0,,no,0,0,0,0,268
0,0,0,1,no,0,0,0,0,269
4,4,0,8,yes,4,4,4,0,270
0,3,0,9,yes,3,3,5,0,271
3,2,0,1,no,3,1,1,0,272
4,5,0,8,yes,4,5,5,0,273
1,4,0,10,yes,3,5,4,0,274
4,2,0,,no,1,1,1,0,275
0,3,0,8,yes,5,5,3,0,276
0,0,0,1,no,0,0,4,0,277
0,0,0,2,no,0,0,1,0,278
0,0,0,1,no,0,0,1,0,279
0,0,0,7,yes,0,0,4,0,280
0,0,0,1,no,0,0,1,0,281
1,4,0,8,yes,4,4,5,0,282
3,3,0,7,yes,3,4,4,0,283
4,3,0,7,yes,3,5,4,0,284
1,2,0,2,no,2,1,2,0,285
4,5,0,10,yes,4,5,5,0,286
0,0,0,9,yes,0,0,4,0,287
0,0,0,6,yes,0,0,4,0,288
0,0,0,9,yes,0,0,4,0,289
0,0,0,3,no,0,0,0,0,290
0,0,0,,no,0,0,0,0,291
0,0,0,,no,0,0,0,0,292
0,0,0,,no,0,0,0,0,293
0,3,0,7,yes,4,4,3,0,294
3,1,0,3,no,3,3,3,0,295
5,5,0,10,yes,5,5,5,0,296
1,2,0,2,no,2,1,2,0,297
0,0,0,8,yes,3,4,4,0,298
1,3,0,,no,4,2,2,0,299
0,0,0,,no,0,0,0,0,300
0,0,0,,no,0,0,0,0,301
0,0,0,,no,0,0,0,0,302
0,0,0,,no,0,0,0,0,303
0,0,0,,no,0,0,0,0,304
0,0,0,,no,0,0,0,0,305
0,0,0,,no,0,0,0,0,306
5,5,0,8,yes,5,5,5,0,307
0,2,0,3,no,2,1,2,0,308
4,3,0,8,yes,4,3,4,0,309
1,2,0,1,no,3,2,1,0,310
2,2,0,3,no,3,3,2,0,311
1,3,0,,no,4,0,1,0,312
0,0,0,,no,0,0,0,0,313
0,0,0,,no,0,0,0,0,314
0,0,0,,no,0,0,0,0,315
0,0,0,,no,0,0,0,0,316
0,0,0,,no,0,0,0,0,317
0,0,0,,no,0,0,0,0,318
0,0,0,,no,0,0,0,0,319
4,2,0,8,yes,4,4,4,0,320
2,1,0,2,no,2,1,1,0,321
0,3,0,,no,0,1,2,0,322
4,4,0,3,no,4,1,2,0,323
1,1,0,,no,3,1,1,0,324
0,0,0,,no,0,0,0,0,325
0,0,0,,no,0,0,0,0,326
1,1,0,,no,4,1,1,0,327
0,0,0,,no,0,1,1,0,328
3,4,0,9,yes,4,4,4,0,329
0,5,0,10,yes,4,5,4,0,330
0,2,0,6,yes,4,3,3,0,331
1,1,0,,no,1,1,2,0,332
0,2,0,,no,3,3,1,0,333
1,2,0,5,yes,2,4,4,0,334
3,4,0,6,yes,4,3,2,0,335
1,1,0,,no,2,1,1,0,336
1,2,0,1,no,2,1,1,0,337
4,4,0,10,yes,5,5,5,0,338
1,3,0,5,yes,3,3,4,0,339
1,3,0,4,yes,3,3,2,0,340
1,1,0,,no,1,3,1,0,341
1,5,0,8,yes,4,4,4,0,342
0,3,0,8,yes,4,0,4,0,343
1,2,0,3,no,4,2,3,0,344
3,4,0,8,yes,4,5,5,0,345
1,4,0,7,yes,2,2,5,0,346
1,2,0,,no,2,2,1,0,347
3,4,0,8,yes,3,5,4,0,348
1,2,0,2,no,3,1,3,0,349
1,1,0,,no,1,1,2,0,350
2,5,0,9,yes,4,5,5,0,351
1,3,0,6,yes,3,4,3,0,352
1,1,0,1,no,1,2,3,0,353
1,1,0,,no,1,1,2,0,354
0,2,0,2,no,1,0,2,0,355
2,4,0,7,yes,2,4,5,0,356
2,2,0,2,no,3,2,2,0,357
1,1,0,1,no,2,2,3,0,358
1,1,0,3,no,2,4,2,0,359
1,2,0,3,no,3,1,1,0,360
0,1,0,5,yes,4,4,3,0,361
3,4,0,7,yes,4,3,5,0,362
5,5,0,9,yes,5,5,4,0,363
1,1,0,2,no,1,3,2,0,364
2,3,0,8,yes,4,4,5,0,365
1,4,0,8,yes,3,4,5,0,366
0,1,0,2,no,3,3,3,0,367
1,3,0,4,no,3,4,3,0,368
0,3,0,7,yes,4,4,5,0,369
1,4,0,4,no,3,2,4,0,370
2,3,0,8,yes,4,4,4,0,371
2,3,0,8,yes,4,4,5,0,372
0,1,0,1,no,0,1,1,0,373
1,3,0,6,yes,3,4,5,0,374
1,4,0,7,yes,4,4,5,0,375
1,2,0,4,no,3,4,2,0,376
0,1,0,1,no,0,1,0,0,377
1,2,0,2,no,1,1,2,0,378
3,2,0,2,no,4,3,1,0,379
5,4,0,8,yes,5,4,4,0,380
2,3,0,8,yes,5,3,4,0,381
1,3,0,2,no,3,3,4,0,382
1,1,0,1,no,1,1,1,0,383
2,2,0,9,yes,5,5,5,0,384
4,4,0,8,yes,4,4,5,0,385
1,1,0,2,no,1,2,3,0,386
1,1,0,1,no,3,1,1,0,387
4,3,0,7,yes,4,4,3,0,388
1,4,0,8,yes,5,5,5,0,389
0,4,0,4,no,4,3,2,0,390
0,1,0,2,no,2,1,3,0,391
2,2,0,1,no,2,2,2,0,392
1,2,0,4,yes,2,2,4,0,393
1,1,0,1,no,3,2,1,0,394
1,2,0,3,no,3,1,1,0,395
1,3,0,2,no,1,1,2,0,396
1,1,0,2,no,3,1,4,0,397
2,3,0,6,yes,2,4,4,0,398
4,3,0,8,yes,4,3,5,0,399
2,2,0,3,no,2,3,1,0,400
5,4,0,8,yes,5,4,4,0,401
1,3,0,2,no,4,2,3,0,402
0,1,0,1,no,1,1,1,0,403
1,4,0,3,no,3,1,3,0,404
1,2,0,5,yes,1,3,3,0,405
1,1,0,4,no,3,2,2,0,406
1,3,0,1,no,3,3,3,0,407
1,1,0,3,no,4,1,3,0,408
0,0,0,1,no,1,0,1,0,409
0,2,0,2,no,2,2,1,0,410
0,0,0,2,yes,0,0,4,0,411
0,0,0,2,no,0,0,4,0,412
0,0,0,10,yes,0,0,4,0,413
0,0,0,10,yes,0,0,4,0,414
0,0,0,8,yes,0,0,4,0,415
0,0,0,,no,0,0,1,0,416
0,0,0,9,yes,0,0,4,0,417
0,0,0,3,no,0,0,1,0,418
0,0,0,1,no,0,0,1,0,419
0,0,0,7,yes,0,0,4,0,420
0,0,0,1,no,0,0,1,0,421
1,4,0,7,yes,4,4,4,0,422
3,4,0,8,yes,4,5,5,0,423
0,0,0,8,yes,0,0,4,0,424
0,0,0,5,no,0,0,4,0,425
0,0,0,1,no,0,0,1,0,426
0,0,0,,no,0,0,1,0,427
0,0,0,4,no,0,0,1,0,428
0,0,0,,no,0,0,1,0,429
0,0,0,9,yes,0,0,4,0,430
0,0,0,10,yes,0,0,4,0,431
0,0,0,9,yes,0,0,4,0,432
0,0,0,9,yes,0,0,1,0,433
0,0,0,7,yes,0,0,4,0,434
0,0,0,8,yes,0,0,4,0,435
0,0,0,3,yes,0,0,4,0,436
0,0,0,,no,0,0,1,0,437
0,0,0,,no,0,0,1,0,438
0,0,0,,no,0,0,1,0,439
0,0,0,9,yes,0,0,4,0,440
0,0,0,1,no,0,0,1,0,441
0,0,0,2,no,0,0,1,0,442
0,0,0,8,yes,0,0,1,0,443
0,0,0,5,no,0,0,0,0,444
0,0,0,4,no,0,0,0,0,445
0,0,0,4,no,0,0,0,0,446
0,0,0,3,no,0,0,0,0,447
0,0,0,3,no,0,0,0,0,448
0,0,0,5,no,0,0,0,0,449
0,0,0,,no,0,0,0,0,450
0,0,0,1,no,0,0,1,0,451
0,0,0,7,yes,0,0,4,0,452
0,0,0,,no,0,0,1,0,453
0,0,0,3,no,0,0,1,0,454
0,0,0,7,yes,0,0,1,0,455
0,0,0,1,no,0,0,1,0,456
0,1,1,1,no,1,1,1,0,457
0,0,0,,no,0,0,1,0,458
0,0,0,1,no,0,0,1,0,459
0,0,0,8,yes,0,0,4,0,460
0,0,0,,no,0,0,1,0,461
0,0,0,4,no,0,0,1,0,462
0,0,0,,no,0,0,1,0,463
0,0,0,,no,0,0,1,0,464
0,0,0,1,no,0,0,1,0,465
5,4,2,5,no,5,2,2,3,466
0,5,5,10,yes,5,5,5,5,467
4,4,5,10,yes,4,5,4,0,468
1,3,2,2,no,2,3,2,0,469
0,0,0,3,no,0,0,1,0,470
0,0,1,1,no,1,1,1,0,471
4,5,4,9,yes,4,5,4,0,472
1,2,3,4,yes,2,1,2,1,473
4,3,4,8,yes,4,3,4,0,474
0,0,0,7,yes,0,0,4,0,475
0,3,3,5,yes,3,3,3,0,476
4,4,3,7,yes,1,4,4,3,477
3,4,1,2,no,3,1,2,1,478
4,4,3,8,yes,4,5,4,0,479
1,3,1,2,no,3,3,2,1,480
0,0,1,1,no,2,2,1,0,481
2,2,1,2,no,3,3,1,2,482
1,1,1,1,no,1,1,1,1,483
0,3,1,1,no,1,1,3,0,484
0,0,0,8,yes,0,0,1,0,485
0,0,0,2,no,0,0,1,0,486
0,0,0,9,yes,0,0,4,0,487
0,0,0,1,no,0,0,1,0,488
0,0,0,5,no,0,0,1,0,489
0,0,0,8,yes,0,0,4,0,490
2,4,1,4,no,3,4,2,3,491
0,0,0,1,no,0,0,1,0,492
0,0,0,1,no,0,0,1,0,493
0,0,0,1,no,0,0,1,0,494
0,0,1,1,no,0,0,1,0,495
0,2,3,2,no,3,4,1,0,496
3,4,3,8,yes,3,3,4,0,497
0,0,1,3,no,3,3,2,0,498
5,4,5,2,no,4,5,3,5,499
4,5,4,10,yes,5,5,4,0,500
1,0,1,1,no,2,1,1,0,501
0,0,1,1,no,1,1,1,1,502
0,3,2,2,yes,3,1,3,0,503
0,0,1,1,no,1,1,1,0,504
3,0,1,1,no,2,1,1,3,505
0,0,0,8,yes,0,0,4,0,506
0,0,0,8,yes,0,0,4,0,507
0,0,0,,no,0,0,1,0,508
0,0,0,7,yes,0,0,4,0,509
0,0,0,8,yes,0,0,4,0,510
0,0,0,8,yes,0,0,4,0,511
0,0,0,1,no,0,0,1,0,512
0,0,0,1,no,0,0,1,0,513
5,4,4,10,yes,5,5,5,0,514
0,0,0,1,no,0,0,2,0,515
1,1,4,3,no,1,3,2,1,516
3,5,4,9,yes,4,5,4,0,517
0,0,0,7,yes,0,0,4,0,518
0,0,0,9,yes,0,0,4,0,519
0,0,0,5,yes,0,0,4,0,520
0,0,0,1,no,0,0,1,0,521
0,3,3,7,yes,4,4,3,0,522
3,2,1,1,no,2,5,2,2,523
5,0,5,10,yes,5,5,5,5,524
1,1,5,5,no,3,1,2,1,525
0,0,0,8,yes,0,0,4,0,526
0,0,0,2,no,0,0,1,0,527
0,0,0,8,yes,0,0,4,0,528
0,0,0,5,yes,0,0,4,0,529
5,5,5,9,yes,2,5,5,0,530
0,0,1,1,no,0,0,1,0,531
0,0,0,1,no,0,0,1,0,532
0,0,0,10,yes,0,0,5,0,533
0,0,0,1,no,0,0,1,0,534
3,3,1,1,no,3,1,3,0,535
0,0,0,9,yes,0,0,4,0,536
0,0,0,9,yes,0,0,4,0,537
0,0,0,2,no,0,0,1,0,538
0,0,0,9,yes,0,0,4,0,539
0,0,0,8,yes,0,0,4,0,540
0,0,0,8,yes,0,0,4,0,541
2,2,1,2,no,3,3,1,2,542
0,0,0,1,no,0,0,1,0,543
0,3,1,3,no,2,4,1,0,544
0,0,1,1,no,2,2,1,0,545
0,0,0,1,no,0,0,1,0,546
4,4,5,8,yes,5,5,5,1,547
3,1,1,2,no,3,4,1,0,548
2,0,1,2,no,1,1,1,1,549
2,2,1,2,no,2,4,2,0,550
0,0,0,8,yes,0,0,4,0,551
0,0,0,6,yes,0,0,4,0,552
0,0,0,8,yes,0,0,4,0,553
0,0,0,3,no,0,0,1,0,554
0,0,0,9,yes,0,0,4,0,555
0,0,0,7,yes,0,0,4,0,556
0,0,1,1,no,2,1,1,0,557
3,1,1,1,no,1,1,1,2,558
0,0,0,1,no,0,0,1,0,559
0,0,1,1,no,1,1,1,0,560
1,1,1,1,no,1,1,1,1,561
0,3,4,7,yes,4,4,3,0,562
0,4,1,4,no,3,4,4,0,563
0,1,2,2,no,1,2,1,0,564
5,5,5,10,yes,5,5,5,0,565
0,4,4,9,yes,4,5,5,0,566
0,5,4,9,yes,5,5,4,0,567
5,5,5,10,yes,5,5,5,0,568
0,0,0,9,yes,0,0,4,0,569
0,0,0,9,yes,0,0,4,0,570
0,0,0,1,no,0,0,1,0,571
0,0,0,6,no,0,0,4,0,572
0,0,0,4,no,0,0,0,0,573
0,0,0,,no,0,0,0,0,574
0,0,0,,no,0,0,0,0,575
2,1,2,2,no,2,1,1,2,576
0,0,1,1,no,1,1,1,0,577
1,1,1,1,no,1,1,1,1,578
1,2,3,1,no,2,3,1,0,579
0,1,1,2,no,2,2,1,0,580
2,3,1,1,no,4,3,1,1,581
0,2,1,1,no,2,2,1,0,582
0,0,1,1,no,0,0,1,0,583
0,5,5,10,yes,5,5,5,5,584
0,1,1,1,no,1,1,1,0,585
1,2,5,7,yes,4,4,5,1,586
2,2,1,1,no,3,2,3,0,587
0,1,1,2,no,1,1,2,0,588
0,0,0,,no,0,0,0,0,589
0,0,0,,no,0,0,0,0,590
0,0,0,,no,0,0,0,0,591
0,0,0,,no,0,0,0,0,592
0,0,0,,no,0,0,0,0,593
0,0,0,,no,0,0,0,0,594
1,3,2,4,no,3,1,2,1,595
0,0,0,1,no,0,0,1,0,596
0,0,1,1,no,1,2,1,0,597
0,0,1,2,no,0,0,3,0,598
0,3,1,2,no,4,4,2,0,599
0,5,4,9,yes,4,4,5,0,600
0,0,0,10,yes,0,0,0,0,601
0,0,0,,no,0,0,0,0,602
0,0,3,8,yes,3,3,5,0,603
0,0,5,10,yes,5,5,5,0,604
0,0,1,4,no,0,0,2,0,605
0,2,2,2,no,3,1,4,0,606
3,1,1,1,no,3,2,3,3,607
3,3,1,2,no,3,3,1,0,608
0,2,3,6,yes,3,4,4,0,609
0,0,1,1,no,1,1,1,0,610
0,0,0,1,no,0,0,1,0,611
0,0,1,2,no,3,2,1,0,612
1,1,1,1,no,1,1,1,1,613
1,3,1,1,no,1,4,1,1,614
0,0,1,1,no,0,0,1,0,615
0,0,0,10,yes,0,0,0,0,616
0,0,0,8,yes,0,0,0,0,617
1,3,0,10,yes,5,4,5,0,618
0,0,0,8,yes,0,0,4,0,619
0,0,0,8,yes,0,0,4,0,620
0,0,0,4,no,0,0,1,0,621
0,0,2,2,no,2,4,3,0,622
0,4,3,8,yes,4,4,4,0,623
0,0,5,10,no,5,5,5,0,624
0,0,5,9,yes,4,4,4,0,625
5,5,5,10,yes,5,5,5,5,626
4,5,4,10,yes,5,5,5,4,627
5,5,2,7,no,5,5,3,0,628
0,0,0,1,no,0,0,1,0,629
5,5,5,10,yes,5,5,5,0,630
0,0,0,1,no,0,0,1,0,631
0,4,4,9,yes,4,5,3,0,632
5,5,4,10,yes,5,5,5,0,633
2,3,3,2,no,3,3,1,1,634
0,3,2,7,yes,3,4,4,0,635
1,1,1,1,no,1,1,1,1,636
1,2,2,1,no,1,2,1,0,637
0,3,2,2,no,3,3,2,0,638
0,2,1,1,no,2,2,2,0,639
0,0,0,4,no,0,0,1,0,640
0,0,0,4,no,0,0,1,0,641
0,0,0,7,no,0,0,1,0,642
0,0,0,3,no,0,0,0,0,643
0,0,0,1,no,0,0,0,0,644
0,0,0,4,no,0,0,0,0,645
2,3,5,10,yes,5,5,5,0,646
2,3,0,10,yes,4,5,5,0,647
5,3,0,9,yes,3,4,4,0,648
0,1,0,10,yes,5,5,4,0,649
0,0,0,9,yes,0,0,4,0,650
4,5,4,10,yes,4,4,4,0,651
5,5,4,10,yes,5,5,3,0,652
0,0,0,1,no,0,0,1,0,653
4,5,4,10,yes,5,5,4,0,654
4,5,3,8,yes,5,5,4,0,655
5,3,5,8,yes,4,5,2,3,656
0,4,5,10,yes,5,5,5,0,657
2,2,1,2,no,2,2,2,0,658
0,0,0,1,no,0,0,1,0,659
0,0,1,3,no,4,4,2,0,660
0,0,1,1,no,0,0,1,0,661
1,1,1,1,no,1,1,1,1,662
0,0,0,1,no,0,0,1,0,663
0,0,0,1,no,0,0,1,0,664
0,0,0,1,no,0,0,1,0,665
0,0,0,,no,0,0,0,0,666
0,0,0,,no,0,0,0,0,667
0,0,0,,no,0,0,0,0,668
0,0,0,,no,0,0,0,0,669
0,0,0,,no,0,0,0,0,670
0,0,0,10,yes,0,0,4,0,671
0,0,0,9,yes,0,0,4,0,672
0,0,0,9,yes,0,0,4,0,673
0,0,0,10,yes,0,0,4,0,674
0,0,0,10,yes,0,0,4,0,675
0,0,0,8,yes,0,0,4,0,676
0,5,4,9,yes,5,5,3,0,677
0,0,2,8,yes,4,4,4,0,678
5,5,3,7,yes,4,1,2,5,679
1,2,1,1,no,1,3,1,1,680
2,0,4,8,yes,1,5,4,1,681
0,0,1,2,no,1,2,2,0,682
0,1,1,1,no,1,3,1,1,683
2,1,1,1,no,1,1,1,1,684
